terrain_type,geometry_terrain,terrain_level,command_vx,replicate,terrain_column,fixed_course,success,failure_reason,survived,samples,mean_vx,bias_vx,mae_vx,rmse_vx,mae_vy,mae_yaw,traversal_time_s,world_displacement_m,max_lateral_error_m,max_heading_error_deg,mean_power_w,mechanical_cot
random_rough,random_rough,0,0.4,0,20,True,True,,True,514,0.37055930495262146,-0.029440701007843018,0.029440701007843018,0.029440701007843018,nan,nan,10.254766464233398,3.799999237060547,0.194061279296875,4.156329765624608,15.401545524597168,0.26401570439338684
random_rough,random_rough,0,0.4,1,21,True,True,,True,529,0.3600882887840271,-0.03991171717643738,0.03991171717643738,0.03991171717643738,nan,nan,10.55296516418457,3.799999237060547,0.10330963134765625,4.637842307298051,17.070207595825195,0.30115970969200134
random_rough,random_rough,0,0.4,2,22,True,True,,True,524,0.3635483384132385,-0.03645166754722595,0.03645166754722595,0.03645166754722595,nan,nan,10.45252799987793,3.799999237060547,0.08458709716796875,4.157098161906235,15.849238395690918,0.27697592973709106
random_rough,random_rough,0,0.4,3,23,True,True,,True,510,0.3736799955368042,-0.02632001042366028,0.02632001042366028,0.02632001042366028,nan,nan,10.169126510620117,3.799999237060547,0.15010833740234375,7.150963027966876,13.883031845092773,0.23613299429416656
random_rough,random_rough,0,0.4,4,20,True,True,,True,513,0.3709496259689331,-0.029050379991531372,0.029050379991531372,0.029050379991531372,nan,nan,10.243976593017578,3.799999237060547,0.19423675537109375,4.1559771571087065,15.312522888183594,0.26197880506515503
random_rough,random_rough,0,0.6,0,20,True,True,,True,329,0.5788679718971252,-0.021132051944732666,0.021132051944732666,0.021132051944732666,nan,nan,6.564535617828369,3.799999237060547,0.14971160888671875,3.991411006133242,20.166099548339844,0.22126875817775726
random_rough,random_rough,0,0.6,1,21,True,True,,True,338,0.5648425817489624,-0.03515744209289551,0.03515744209289551,0.03515744209289551,nan,nan,6.727536678314209,3.799999237060547,0.06343841552734375,3.9900014258432805,21.608810424804688,0.24358467757701874
random_rough,random_rough,0,0.6,2,22,True,True,,True,334,0.570282518863678,-0.02971750497817993,0.02971750497817993,0.02971750497817993,nan,nan,6.663362979888916,3.799999237060547,0.05126953125,3.9966911692484848,21.749937057495117,0.24227406084537506
random_rough,random_rough,0,0.6,3,23,True,True,,True,328,0.5813927054405212,-0.01860731840133667,0.01860731840133667,0.01860731840133667,nan,nan,6.5360283851623535,3.799999237060547,0.1165771484375,5.652419950952901,18.94811248779297,0.2072727084159851
random_rough,random_rough,0,0.6,4,20,True,True,,True,331,0.5758926868438721,-0.02410733699798584,0.02410733699798584,0.02410733699798584,nan,nan,6.598450183868408,3.799999237060547,0.145904541015625,3.9911548740393665,20.143239974975586,0.22236138582229614
random_rough,random_rough,0,0.8,0,20,True,True,,True,246,0.7742387056350708,-0.025761306285858154,0.025761306285858154,0.025761306285858154,nan,nan,4.908046245574951,3.799999237060547,0.1051788330078125,3.419419802298286,27.272233963012695,0.22374747693538666
