time_s,command_vx,mean_vx,mean_vy,mean_yaw,mean_power_w,alive_fraction,within_tolerance_fraction
0.02,0.0,-0.028737903,0.0057879156,-0.06959587,5.626634,1.0,1.0
0.02,0.2,0.18360624,-0.00045648543,-0.10685293,8.387361,1.0,1.0
0.02,0.4,0.37614813,0.0020382786,-0.10006327,15.547358,1.0,1.0
0.02,0.6,0.5754519,0.0020797893,-0.11874987,24.221786,1.0,1.0
0.02,0.8,0.7905761,0.0069918903,-0.13973534,37.010452,1.0,1.0
0.02,1.0,1.0366669,-0.012436675,-0.08529103,42.56085,1.0,1.0
0.02,1.2,1.2437916,-0.016975213,-0.056113113,108.68347,1.0,1.0
0.02,1.4,1.4134915,-0.019583121,-0.093467906,161.77693,1.0,1.0
0.02,1.6,1.610888,-0.009674896,0.08069101,79.61117,1.0,1.0
0.02,1.8,1.7967093,-0.014993897,0.082273684,112.093605,1.0,1.0
0.02,2.0,2.0495417,-0.017426627,0.07267521,87.71654,1.0,1.0
0.02,2.2,2.2002034,0.023922354,-0.030837238,434.49512,1.0,1.0
0.02,2.4,2.3549209,-0.016494166,-0.07783182,138.66425,1.0,1.0
0.02,2.6,2.6444206,-0.055328295,-0.23041709,409.9718,1.0,0.1875
0.02,2.8,2.7076135,-0.08566587,-0.20791307,634.56067,1.0,0.375
0.02,3.0,2.9734807,-0.04145713,-0.3092469,320.0102,1.0,0.0625
0.02,3.2,3.1684253,0.0013129325,-0.30295342,308.75385,1.0,0.0
0.02,3.4,3.3580904,0.04199701,0.27800083,315.54642,1.0,0.0
0.02,3.6,3.5325418,-0.014116004,0.86437607,444.09384,1.0,0.0
0.02,3.8,3.6735618,-0.13631532,0.9453685,901.77344,1.0,0.0
0.02,4.0,3.805385,-0.15196106,1.012786,877.0548,1.0,0.0
0.02,4.2,3.904591,-0.17470282,0.97944593,1024.6732,1.0,0.0
0.02,4.4,0.0001595584,-0.0020395657,0.013527061,3.0401661,1.0,0.0
0.02,4.6,0.00379314,0.020651946,0.012912784,3.1791556,1.0,0.0
0.02,4.8,-0.000978229,-0.006688145,0.008226469,0.87355065,1.0,0.0
