time_s,command_vx,mean_vx,mean_vy,mean_yaw,mean_power_w,alive_fraction,within_tolerance_fraction
0.1,0.8,0.7609472,0.050655607,-0.104247555,27.160765,1.0,1.0
0.1,1.0,1.0203829,0.064101115,0.0050355233,42.409508,1.0,1.0
0.1,1.2,1.2930676,0.0836128,0.11179575,78.35829,1.0,1.0
0.1,1.4,1.3138096,0.0300297,-0.05594808,62.5128,1.0,1.0
0.1,1.6,1.5220766,0.04100913,0.037309993,117.25566,1.0,1.0
0.1,1.8,1.7890453,0.03571658,0.03026783,222.34627,1.0,1.0
0.1,2.0,1.9980705,0.023998495,0.058937542,360.17334,1.0,1.0
0.1,2.2,2.293491,0.011692192,0.020776417,151.89621,1.0,1.0
0.1,2.4,2.383223,0.016160775,0.10676523,532.87244,1.0,1.0
0.1,2.6,2.5587325,0.041247103,0.06559642,518.62976,1.0,1.0
0.1,2.8,2.8306732,0.03804377,-0.059777286,222.02524,1.0,1.0
0.1,3.0,2.8155508,0.111031264,-0.12660894,813.6548,1.0,0.8125
0.12,0.0,0.030020049,0.02321769,-0.025117802,3.141333,1.0,1.0
0.12,0.2,0.2135473,-0.02823946,-0.08682729,11.051262,1.0,1.0
0.12,0.4,0.4093663,-0.0022910614,-0.0007827585,13.13017,1.0,1.0
0.12,0.6,0.59678495,0.044587545,-0.016379314,25.720554,1.0,1.0
0.12,0.8,0.7569779,0.047329724,-0.089152366,26.420547,1.0,1.0
0.12,1.0,0.988948,0.06743665,0.020602807,39.15943,1.0,1.0
0.12,1.2,1.2418239,0.08717356,0.060150776,74.016396,1.0,1.0
0.12,1.4,1.3460969,0.035335183,-0.051071674,75.95525,1.0,1.0
0.12,1.6,1.5196517,0.04151262,-0.00037517532,67.72287,1.0,1.0
0.12,1.8,1.7322857,0.022669796,-0.04898316,181.1163,1.0,1.0
0.12,2.0,1.9783739,0.022133362,0.10606745,181.95972,1.0,1.0
0.12,2.2,2.3314347,-0.00079870765,0.14710951,140.83432,1.0,0.9375
0.12,2.4,2.3562431,-0.010937171,0.040796947,277.15845,1.0,1.0
0.12,2.6,2.559605,0.02169313,-0.004418667,286.97607,1.0,1.0
0.12,2.8,2.8641589,0.041428942,-0.20851907,137.04167,1.0,0.5
0.12,3.0,2.8570395,0.10798584,0.20952517,338.4298,1.0,0.5
0.14,0.0,0.030849945,0.025431426,-0.012939923,4.998619,1.0,1.0
0.14,0.2,0.22765768,-0.034661703,-0.10595189,11.172441,1.0,1.0
0.14,0.4,0.40228426,-0.00021320721,0.0046938495,11.193966,1.0,1.0
0.14,0.6,0.62507844,0.052701265,0.011538262,22.42355,1.0,1.0
0.14,0.8,0.75961864,0.042499024,-0.056874834,22.862143,1.0,1.0
0.14,1.0,0.96853197,0.06772353,0.016910108,39.891907,1.0,1.0
0.14,1.2,1.1896358,0.08374986,-0.029890236,56.642082,1.0,1.0
0.14,1.4,1.3941333,0.038767368,-0.09291626,70.520905,1.0,1.0
0.14,1.6,1.5403597,0.042647585,-0.04461974,81.73578,1.0,1.0
0.14,1.8,1.7061307,0.011016777,-0.10898013,85.20453,1.0,1.0
0.14,2.0,2.0071821,0.017214932,0.0638773,158.43274,1.0,1.0
0.14,2.2,2.3205323,0.0038280897,0.19323054,273.2446,1.0,0.3125
0.14,2.4,2.3826833,-0.005192966,-0.040916555,206.29178,1.0,1.0
0.14,2.6,2.6002972,0.04058443,-0.061940517,195.83728,1.0,1.0
0.14,2.8,2.8318903,0.038499564,-0.28766015,592.90155,1.0,0.0
0.14,3.0,2.9186974,0.08818847,0.22113219,324.56204,1.0,0.1875
0.16,0.0,0.032936603,0.028851464,-0.004228104,6.33264,1.0,1.0
0.16,0.2,0.22855449,-0.027650647,-0.13567924,8.484764,1.0,1.0
0.16,0.4,0.39513767,0.0020285011,-0.01278812,10.659335,1.0,1.0
0.16,0.6,0.6525807,0.057036202,0.05580464,29.623821,1.0,1.0
0.16,0.8,0.7693248,0.037775945,-0.03513206,23.508247,1.0,1.0
0.16,1.0,0.9609256,0.07044713,0.0062005636,25.304882,1.0,1.0
