task_id,vx_bin,yaw_bin,terrain_type,terrain_level,probability,learning_progress,reward_ema
0,0,0,flat,0,0.0008533364161849022,0.0,0.7388919591903687
1,0,0,flat,1,0.0008536955574527383,0.0,0.7399846315383911
2,0,0,flat,2,0.0008528265752829611,0.0,0.7392003536224365
3,0,0,flat,3,0.0008529567858204246,0.0,0.7441065311431885
4,0,0,stairs_up,0,0.0017093255883082747,0.004262745380401611,0.7083668112754822
5,0,0,stairs_up,1,0.0008529832120984793,0.0,0.664118766784668
6,0,0,stairs_up,2,0.0013277234975248575,-0.0007072091102600098,0.667136549949646
7,0,0,stairs_up,3,0.0008507073507644236,0.0,0.6519075036048889
8,0,0,stairs_down,0,0.000969363609328866,0.001088261604309082,0.7063831686973572
9,0,0,stairs_down,1,0.0008520760457031429,0.0,0.6636854410171509
10,0,0,stairs_down,2,0.0007639717659913003,-0.002571403980255127,0.6438217759132385
11,0,0,stairs_down,3,0.0007997403154149652,0.0,0.6571311354637146
12,0,0,slope_up,0,0.0008338136249221861,-0.0017470121383666992,0.7426807284355164
13,0,0,slope_up,1,0.00109798030462116,0.0015302300453186035,0.7323364615440369
14,0,0,slope_up,2,0.000852826633490622,0.0,0.7342821955680847
15,0,0,slope_up,3,0.0008283475181087852,0.0,0.7274639010429382
16,0,0,slope_down,0,0.0010056201135739684,0.0010436773300170898,0.7387213706970215
17,0,0,slope_down,1,0.0009460225701332092,0.0,0.736282467842102
18,0,0,slope_down,2,0.0008565235184505582,0.0,0.7389850616455078
19,0,0,slope_down,3,0.0009333356283605099,0.001332402229309082,0.712727427482605
20,0,0,random_rough,0,0.0008589118369854987,0.0,0.731286346912384
21,0,0,random_rough,1,0.0008528215694241226,0.0,0.6702337265014648
22,0,0,random_rough,2,0.0011359023628756404,0.002874910831451416,0.6043165326118469
23,0,0,random_rough,3,0.001094765611924231,-0.017574161291122437,0.4491281807422638
24,0,1,flat,0,0.0008555080858059227,0.0,0.748421311378479
25,0,1,flat,1,0.0008663108455948532,0.0,0.7456055283546448
26,0,1,flat,2,0.0009388546459376812,0.0,0.7437746524810791
27,0,1,flat,3,0.0008695948054082692,0.0,0.7388249039649963
28,0,1,stairs_up,0,0.000858263811096549,0.0,0.7349758148193359
29,0,1,stairs_up,1,0.0008971240604296327,0.0004437565803527832,0.7209441661834717
30,0,1,stairs_up,2,0.0008470978355035186,0.0,0.7022716403007507
31,0,1,stairs_up,3,0.0008528158068656921,0.0,0.7069673538208008
32,0,1,stairs_down,0,0.0008583031012676656,0.0,0.7377036809921265
33,0,1,stairs_down,1,0.000995989073999226,0.0,0.7333932518959045
34,0,1,stairs_down,2,0.0008528247708454728,0.0,0.727399468421936
35,0,1,stairs_down,3,0.0008515223162248731,0.0,0.7345762848854065
36,0,1,slope_up,0,0.0008508811006322503,0.0,0.7410312294960022
37,0,1,slope_up,1,0.0009092807304114103,0.0,0.740651547908783
38,0,1,slope_up,2,0.0008930134354159236,0.0,0.7454426288604736
39,0,1,slope_up,3,0.0012295925989747047,0.003997445106506348,0.7322930097579956
40,0,1,slope_down,0,0.0008721569320186973,0.0002453923225402832,0.7344775199890137
41,0,1,slope_down,1,0.0008530397317372262,0.0,0.7419465184211731
42,0,1,slope_down,2,0.0008595562539994717,0.0,0.7425257563591003
43,0,1,slope_down,3,0.0008592733065597713,0.0,0.738845705986023
44,0,1,random_rough,0,0.0009196337778121233,0.0,0.7241846919059753
45,0,1,random_rough,1,0.0009773287456482649,0.0,0.6884102821350098
46,0,1,random_rough,2,0.0014630760997533798,0.0,0.6042583584785461
47,0,1,random_rough,3,0.0037123484071344137,0.0,0.4515702724456787
48,0,2,flat,0,0.0008535182569175959,0.0,0.7376739978790283
49,0,2,flat,1,0.0008548435871489346,0.0,0.7389739155769348
50,0,2,flat,2,0.0008090351475402713,-0.001112222671508789,0.7396894693374634
51,0,2,flat,3,0.0010746072512120008,0.002519845962524414,0.7378352880477905
52,0,2,stairs_up,0,0.0008828344289213419,0.0,0.7398462295532227
53,0,2,stairs_up,1,0.0010886777890846133,0.002471446990966797,0.7324774265289307
54,0,2,stairs_up,2,0.0009135714499279857,0.0,0.7263224124908447
55,0,2,stairs_up,3,0.000975440489128232,0.0004980564117431641,0.7358380556106567
56,0,2,stairs_down,0,0.0008497174712829292,0.0,0.7362366318702698
57,0,2,stairs_down,1,0.0008723753271624446,0.0,0.7392871975898743
58,0,2,stairs_down,2,0.0008647043141536415,0.0,0.7359192967414856
59,0,2,stairs_down,3,0.0009834151715040207,0.0019771456718444824,0.7410402894020081
60,0,2,slope_up,0,0.0008528315229341388,0.0,0.7231683731079102
61,0,2,slope_up,1,0.0008583248709328473,0.0,0.7409246563911438
62,0,2,slope_up,2,0.000853937934152782,0.0,0.7306853532791138
63,0,2,slope_up,3,0.0007633703644387424,-0.00272369384765625,0.73626708984375
64,0,2,slope_down,0,0.000816672807559371,-0.0008338093757629395,0.7381522059440613
65,0,2,slope_down,1,0.0011199174914509058,0.002591848373413086,0.7400407791137695
66,0,2,slope_down,2,0.0008530421764589846,0.0,0.7331568002700806
67,0,2,slope_down,3,0.000852498400490731,-0.0010046958923339844,0.7431644201278687
68,0,2,random_rough,0,0.0008528198231942952,0.0,0.7079151272773743
69,0,2,random_rough,1,0.0008528160979039967,0.0,0.658592939376831
70,0,2,random_rough,2,0.0010906571988016367,0.003002464771270752,0.5869930386543274
71,0,2,random_rough,3,0.0008517630631104112,0.0,0.39350950717926025
72,0,3,flat,0,0.0008579673012718558,0.0,0.7310473918914795
73,0,3,flat,1,0.0010258168913424015,0.0019505620002746582,0.728495717048645
74,0,3,flat,2,0.0008684234344400465,0.0,0.7305965423583984
75,0,3,flat,3,0.0008810022845864296,0.0,0.7376148700714111
76,0,3,stairs_up,0,0.0012839008122682571,0.004319369792938232,0.7210932374000549
77,0,3,stairs_up,1,0.0009148537064902484,0.0,0.7183672189712524
78,0,3,stairs_up,2,0.0008528204634785652,0.0,0.7205256223678589
79,0,3,stairs_up,3,0.0011125978780910373,0.003159165382385254,0.7259911298751831
80,0,3,stairs_down,0,0.0008535395609214902,0.0,0.7313228845596313
81,0,3,stairs_down,1,0.0009972656844183803,0.0011820793151855469,0.7262861728668213
82,0,3,stairs_down,2,0.0008559212437830865,0.0,0.7290493845939636
83,0,3,stairs_down,3,0.00143721722997725,0.005092501640319824,0.7113322019577026
84,0,3,slope_up,0,0.0011422875104472041,0.0,0.718583345413208
85,0,3,slope_up,1,0.0008627644274383783,0.0,0.7283778190612793
86,0,3,slope_up,2,0.0008562050643377006,0.0,0.725868284702301
87,0,3,slope_up,3,0.0008852510945871472,0.0007623434066772461,0.7345665693283081
88,0,3,slope_down,0,0.0008607457275502384,0.0,0.734785795211792
89,0,3,slope_down,1,0.0008527142344973981,0.0,0.730293333530426
90,0,3,slope_down,2,0.0009619432967156172,0.0,0.7319508194923401
91,0,3,slope_down,3,0.0009359259274788201,0.00010335445404052734,0.7298128604888916
92,0,3,random_rough,0,0.0010113234166055918,0.0,0.7045618891716003
93,0,3,random_rough,1,0.0009094304987229407,0.0,0.6639074683189392
94,0,3,random_rough,2,0.0016432316042482853,0.005864381790161133,0.5809054970741272
95,0,3,random_rough,3,0.0012550880201160908,-0.009564131498336792,0.37616559863090515
96,0,4,flat,0,0.0008381291991099715,-0.0010204911231994629,0.721714198589325
97,0,4,flat,1,0.0009119705646298826,0.0,0.7160906791687012
98,0,4,flat,2,0.0008528244215995073,0.0,0.7020562887191772
99,0,4,flat,3,0.0009567878441885114,0.001123964786529541,0.7186318635940552
100,0,4,stairs_up,0,0.0008706918451935053,0.0,0.7140728831291199
101,0,4,stairs_up,1,0.0008512737113051116,0.0,0.7160172462463379
102,0,4,stairs_up,2,0.000852404918987304,0.0,0.7039217948913574
103,0,4,stairs_up,3,0.000852894620038569,0.0,0.70961993932724
104,0,4,stairs_down,0,0.0008944207220338285,0.0002257227897644043,0.7166465520858765
105,0,4,stairs_down,1,0.0008528207545168698,0.0,0.7122300267219543
106,0,4,stairs_down,2,0.0009294958435930312,0.0,0.7185761332511902
107,0,4,stairs_down,3,0.000853378267493099,0.0,0.7142821550369263
108,0,4,slope_up,0,0.0008528328035026789,0.0,0.7093926072120667
109,0,4,slope_up,1,0.0008528468897566199,0.0,0.7160855531692505
110,0,4,slope_up,2,0.0008528402540832758,0.0,0.7157717347145081
111,0,4,slope_up,3,0.0008528779144398868,0.0,0.7104528546333313
112,0,4,slope_down,0,0.0009098628652282059,6.389617919921875e-05,0.7180793285369873
113,0,4,slope_down,1,0.0008735684677958488,0.0,0.7205172777175903
114,0,4,slope_down,2,0.0008491543121635914,0.0,0.6734251379966736
115,0,4,slope_down,3,0.0009681694791652262,0.0013311505317687988,0.7169823050498962
116,0,4,random_rough,0,0.0008688355446793139,0.0,0.6997692584991455
117,0,4,random_rough,1,0.0008556650136597455,0.0,0.6434720754623413
118,0,4,random_rough,2,0.0008118194527924061,-0.006372630596160889,0.5550252199172974
119,0,4,random_rough,3,0.0019616244826465845,0.004808217287063599,0.37235960364341736
120,1,0,flat,0,0.0008602588204666972,0.0,0.6997792720794678
