task_id,vx_bin,yaw_bin,terrain_type,terrain_level,probability,learning_progress,reward_ema
0,0,0,flat,0,0.000705151294823736,0.0,0.7311222553253174
1,0,0,flat,1,0.000735752924811095,0.0,0.7287301421165466
2,0,0,flat,2,0.0009661063668318093,0.0019344687461853027,0.7311550974845886
3,0,0,flat,3,0.0006927538779564202,0.0,0.724418580532074
4,0,0,stairs_up,0,0.0007045062957331538,0.0,0.6905523538589478
5,0,0,stairs_up,1,0.0006881607114337385,0.0,0.6584144830703735
6,0,0,stairs_up,2,0.0006979340105317533,0.0,0.6264914274215698
7,0,0,stairs_up,3,0.0017418375937268138,0.004750549793243408,0.6446752548217773
8,0,0,stairs_down,0,0.0007051455322653055,0.0,0.6839286088943481
9,0,0,stairs_down,1,0.001977772219106555,0.00527346134185791,0.6726284623146057
10,0,0,stairs_down,2,0.0007672509527765214,-0.0024728775024414062,0.6490769386291504
11,0,0,stairs_down,3,0.0007268267800100148,0.0,0.6620974540710449
12,0,0,slope_up,0,0.0006150424014776945,-0.0010131597518920898,0.7291910648345947
13,0,0,slope_up,1,0.0007052727742120624,0.0,0.7245951890945435
14,0,0,slope_up,2,0.0007156957872211933,0.0001017451286315918,0.7221090197563171
15,0,0,slope_up,3,0.0007053163135424256,0.0,0.7175369262695312
16,0,0,slope_down,0,0.0006172780995257199,-0.0004477500915527344,0.7234272956848145
17,0,0,slope_down,1,0.0007051007123664021,0.0,0.7218687534332275
18,0,0,slope_down,2,0.0007399729802273214,0.0,0.7221444845199585
19,0,0,slope_down,3,0.0007045161910355091,0.0,0.7163408994674683
20,0,0,random_rough,0,0.0007025539525784552,0.0,0.7126472592353821
21,0,0,random_rough,1,0.0007791336975060403,0.0,0.6636753082275391
22,0,0,random_rough,2,0.00070505979238078,0.0,0.5940163731575012
23,0,0,random_rough,3,0.010784491896629333,-0.04097679257392883,0.4329235851764679
24,0,1,flat,0,0.0007047941908240318,0.0,0.7337899804115295
25,0,1,flat,1,0.0007051072898320854,0.0,0.7336238622665405
26,0,1,flat,2,0.0007058236515149474,0.0,0.7290962338447571
