task_id,vx_bin,yaw_bin,terrain_type,terrain_level,probability,learning_progress,reward_ema
0,0,0,flat,0,0.0010725724278017879,0.004746913909912109,0.654746413230896
1,0,0,flat,1,0.0005803530220873654,0.0,0.6531400680541992
2,0,0,flat,2,0.0008084946312010288,0.0023279786109924316,0.6548978090286255
3,0,0,flat,3,0.0005802135565318167,0.0,0.6486493945121765
4,0,0,stairs_up,0,0.0008263788186013699,0.0,0.5681277513504028
5,0,0,stairs_up,1,0.003378241788595915,0.0019377470016479492,0.5458422899246216
6,0,0,stairs_up,2,0.000580234220251441,0.0,0.5246425867080688
7,0,0,stairs_up,3,0.0031859492883086205,-0.014203906059265137,0.5216350555419922
8,0,0,stairs_down,0,0.0004966676351614296,-0.0016487836837768555,0.5642004609107971
9,0,0,stairs_down,1,0.0005981172434985638,0.0,0.5679386258125305
10,0,0,stairs_down,2,0.0005865637212991714,0.0,0.5594893097877502
11,0,0,stairs_down,3,0.0005802009836770594,0.0,0.5743957161903381
12,0,0,slope_up,0,0.0007196330698207021,0.0,0.6514298915863037
13,0,0,slope_up,1,0.0005956637905910611,0.0,0.645366370677948
14,0,0,slope_up,2,0.000624688109382987,0.0,0.6383286714553833
15,0,0,slope_up,3,0.0006833237130194902,0.0,0.6329575181007385
16,0,0,slope_down,0,0.0005831940798088908,0.0,0.6511983871459961
17,0,0,slope_down,1,0.0005906665464863181,0.0,0.6456613540649414
18,0,0,slope_down,2,0.0005885839345864952,0.0,0.6344779133796692
19,0,0,slope_down,3,0.0005836990894749761,0.0,0.6397327184677124
20,0,0,random_rough,0,0.0005802622181363404,0.0,0.6114107370376587
21,0,0,random_rough,1,0.0006025612819939852,0.0,0.5701615214347839
22,0,0,random_rough,2,0.0014389613643288612,0.00601688027381897,0.4844602644443512
23,0,0,random_rough,3,0.0005801299121230841,0.0,0.33779847621917725
24,0,1,flat,0,0.0006161327473819256,0.0,0.6505498886108398
25,0,1,flat,1,0.000578490027692169,0.0,0.6513844132423401
26,0,1,flat,2,0.0005921002593822777,0.0,0.6470459699630737
27,0,1,flat,3,0.0005806513945572078,0.0,0.6502560377120972
28,0,1,stairs_up,0,0.001046965946443379,0.003979206085205078,0.623381495475769
29,0,1,stairs_up,1,0.0005705367075279355,0.0,0.5785523056983948
30,0,1,stairs_up,2,0.0020631705410778522,0.0066800713539123535,0.6227325797080994
31,0,1,stairs_up,3,0.0005803013336844742,0.0,0.5754796266555786
32,0,1,stairs_down,0,0.0007122312672436237,0.0,0.6475253701210022
33,0,1,stairs_down,1,0.0005802108207717538,0.0,0.6185301542282104
34,0,1,stairs_down,2,0.001009164727292955,0.004356861114501953,0.6241592168807983
35,0,1,stairs_down,3,0.0008042624685913324,0.0010793805122375488,0.6382604837417603
36,0,1,slope_up,0,0.0005806468543596566,0.0,0.640322208404541
37,0,1,slope_up,1,0.0010952841257676482,0.004718303680419922,0.6470255255699158
38,0,1,slope_up,2,0.0005811767186969519,0.0,0.643368124961853
39,0,1,slope_up,3,0.0005840110825374722,0.0,0.6429653167724609
40,0,1,slope_down,0,0.0005803171661682427,0.0,0.643520712852478
41,0,1,slope_down,1,0.0006492785178124905,0.0,0.6447031497955322
42,0,1,slope_down,2,0.0017761981580406427,0.00763392448425293,0.6507874131202698
43,0,1,slope_down,3,0.0005803626263514161,0.0,0.647883415222168
44,0,1,random_rough,0,0.000580384221393615,0.0,0.6159120798110962
45,0,1,random_rough,1,0.0005804072134196758,0.0,0.5454673171043396
46,0,1,random_rough,2,0.0005803653039038181,0.0,0.45157769322395325
47,0,1,random_rough,3,0.003387585747987032,0.008361339569091797,0.3191395401954651
48,0,2,flat,0,0.0005802865489386022,0.0,0.6360278725624084
49,0,2,flat,1,0.0014967188471928239,0.00659412145614624,0.6403779983520508
50,0,2,flat,2,0.0009830384515225887,0.003833472728729248,0.6418103575706482
51,0,2,flat,3,0.0012644414091482759,0.005718529224395752,0.6532343029975891
52,0,2,stairs_up,0,0.004355305340141058,0.012611925601959229,0.6221190690994263
53,0,2,stairs_up,1,0.0005798628553748131,0.0,0.5950110554695129
54,0,2,stairs_up,2,0.0006575412699021399,0.0,0.6138800382614136
55,0,2,stairs_up,3,0.004080518148839474,0.012275099754333496,0.6099230051040649
56,0,2,stairs_down,0,0.0006354501820169389,0.0,0.6348996758460999
57,0,2,stairs_down,1,0.003162306034937501,0.010925114154815674,0.6242693662643433
58,0,2,stairs_down,2,0.00158299517352134,0.006806612014770508,0.6377446055412292
59,0,2,stairs_down,3,0.001883041812106967,0.006440937519073486,0.6373255252838135
60,0,2,slope_up,0,0.0005807252018712461,0.0,0.6118268370628357
61,0,2,slope_up,1,0.000591285468544811,0.0,0.6355646848678589
62,0,2,slope_up,2,0.001467358786612749,0.0050508975982666016,0.6436479091644287
63,0,2,slope_up,3,0.0010005392832681537,0.0041806697845458984,0.6432446837425232
64,0,2,slope_down,0,0.0005823876708745956,0.0,0.6368997097015381
65,0,2,slope_down,1,0.0011879660887643695,0.004938900470733643,0.639845609664917
66,0,2,slope_down,2,0.0007237134850583971,0.0,0.6279999017715454
67,0,2,slope_down,3,0.0005804667598567903,0.0,0.6371574997901917
68,0,2,random_rough,0,0.0007513314485549927,0.0,0.6157755851745605
69,0,2,random_rough,1,0.0005799875361844897,0.0,0.5250698328018188
70,0,2,random_rough,2,0.0022462019696831703,-0.028684347867965698,0.4276539981365204
71,0,2,random_rough,3,0.004896298982203007,0.012483566999435425,0.28679949045181274
72,0,3,flat,0,0.0005803604726679623,0.0,0.6110689640045166
73,0,3,flat,1,0.0005804290412925184,0.0,0.6106566786766052
74,0,3,flat,2,0.0006961539038456976,0.0,0.6305651068687439
75,0,3,flat,3,0.000580089632421732,0.0,0.6165540218353271
76,0,3,stairs_up,0,0.001822571037337184,0.0065538883209228516,0.6008940935134888
77,0,3,stairs_up,1,0.0016076376195997,0.005179941654205322,0.6030705571174622
78,0,3,stairs_up,2,0.003549568122252822,0.008876383304595947,0.5859760046005249
79,0,3,stairs_up,3,0.0014973740326240659,0.0033028125762939453,0.6074302196502686
80,0,3,stairs_down,0,0.000580361345782876,0.0,0.6037708520889282
81,0,3,stairs_down,1,0.0021358223166316748,0.007187366485595703,0.6187530755996704
82,0,3,stairs_down,2,0.0012057431740686297,0.004147887229919434,0.6246150732040405
83,0,3,stairs_down,3,0.0028071159031242132,0.009460628032684326,0.6137332320213318
84,0,3,slope_up,0,0.0007445020601153374,0.00018072128295898438,0.6199337244033813
85,0,3,slope_up,1,0.0005871897446922958,0.0,0.6131080985069275
86,0,3,slope_up,2,0.0009501383756287396,0.0034705400466918945,0.631756067276001
87,0,3,slope_up,3,0.0005870925961062312,0.0,0.6050689220428467
88,0,3,slope_down,0,0.0006445618346333504,0.0,0.6211892366409302
89,0,3,slope_down,1,0.0008974059019237757,0.0,0.6199035048484802
90,0,3,slope_down,2,0.0006923782639205456,0.0,0.6169654130935669
91,0,3,slope_down,3,0.0005802162340842187,0.0,0.6147750616073608
92,0,3,random_rough,0,0.001995266182348132,0.00809401273727417,0.6094775199890137
93,0,3,random_rough,1,0.0007442030473612249,-4.690885543823242e-05,0.5278171896934509
94,0,3,random_rough,2,0.013566376641392708,0.017488569021224976,0.4050178527832031
95,0,3,random_rough,3,0.014514804817736149,0.017917662858963013,0.24425706267356873
96,0,4,flat,0,0.0005815380718559027,0.0,0.5943679213523865
97,0,4,flat,1,0.0005803604144603014,0.0,0.5856501460075378
98,0,4,flat,2,0.0005802708910778165,0.0,0.601381778717041
99,0,4,flat,3,0.0005803622188977897,0.0,0.5857431888580322
100,0,4,stairs_up,0,0.0013666999293491244,0.0062226057052612305,0.5845645666122437
101,0,4,stairs_up,1,0.0009895139373838902,0.0,0.5629734396934509
102,0,4,stairs_up,2,0.002748616738244891,0.00940859317779541,0.5894863605499268
103,0,4,stairs_up,3,0.002503339434042573,0.008168697357177734,0.5717873573303223
104,0,4,stairs_down,0,0.0006096915458329022,0.0,0.5968509912490845
105,0,4,stairs_down,1,0.0029546816367655993,0.009273052215576172,0.593811571598053
106,0,4,stairs_down,2,0.002312643453478813,0.008783400058746338,0.6035816669464111
107,0,4,stairs_down,3,0.002938297111541033,0.009440779685974121,0.5981300473213196
108,0,4,slope_up,0,0.0013993069296702743,0.0,0.5831940174102783
109,0,4,slope_up,1,0.0005973146762698889,0.0,0.5944535136222839
110,0,4,slope_up,2,0.0014816982438787818,0.006281256675720215,0.599370539188385
111,0,4,slope_up,3,0.0006462070159614086,0.0,0.6002339124679565
112,0,4,slope_down,0,0.0016008721431717277,0.00688326358795166,0.6074231266975403
113,0,4,slope_down,1,0.0007580305682495236,0.0,0.6021106839179993
114,0,4,slope_down,2,0.0008773334557190537,0.0,0.5982000231742859
115,0,4,slope_down,3,0.0005803623353131115,0.0,0.5735241174697876
116,0,4,random_rough,0,0.0018171478295698762,0.006820738315582275,0.5870321393013
117,0,4,random_rough,1,0.0013404154451563954,0.005024075508117676,0.5058069825172424
118,0,4,random_rough,2,0.009409804828464985,0.015600204467773438,0.39620283246040344
119,0,4,random_rough,3,0.008717270568013191,0.01589973270893097,0.20697735249996185
120,1,0,flat,0,0.0005941472481936216,0.0,0.6179323196411133
121,1,0,flat,1,0.0005843463586643338,0.0,0.6079179048538208
122,1,0,flat,2,0.0006053490214981139,0.0,0.6058782339096069
123,1,0,flat,3,0.000580359366722405,0.0,0.6083515882492065
124,1,0,stairs_up,0,0.0006211285362951458,0.0,0.5125881433486938
125,1,0,stairs_up,1,0.0005679277237504721,0.0,0.44740715622901917
126,1,0,stairs_up,2,0.0006088765221647918,0.0,0.42898547649383545
127,1,0,stairs_up,3,0.010777055285871029,0.015870481729507446,0.3931415379047394
128,1,0,stairs_down,0,0.0016566236736252904,0.006022274494171143,0.47553834319114685
129,1,0,stairs_down,1,0.0005803609965369105,0.0,0.3895040452480316
130,1,0,stairs_down,2,0.0005793243180960417,0.0,0.36358797550201416
131,1,0,stairs_down,3,0.0004687702457886189,-0.004789113998413086,0.3790193498134613
132,1,0,slope_up,0,0.0005804027896374464,0.0,0.6033979058265686
133,1,0,slope_up,1,0.0005601884913630784,0.0,0.5945006012916565
134,1,0,slope_up,2,0.0010626593139022589,0.0040798187255859375,0.5934916734695435
135,1,0,slope_up,3,0.0009116839501075447,0.002975940704345703,0.5758769512176514
136,1,0,slope_down,0,0.0007361819734796882,0.002066969871520996,0.6058125495910645
137,1,0,slope_down,1,0.0005858245422132313,0.0,0.5949793457984924
138,1,0,slope_down,2,0.000580361345782876,0.0,0.5822621583938599
139,1,0,slope_down,3,0.0005815009935759008,0.0,0.5773101449012756
140,1,0,random_rough,0,0.0005823727697134018,0.0,0.567103385925293
141,1,0,random_rough,1,0.0005812333547510207,0.0,0.5104677677154541
142,1,0,random_rough,2,0.008765594102442265,0.01609387993812561,0.3862936794757843
143,1,0,random_rough,3,0.0022652659099549055,0.0,0.2124507576227188
144,1,1,flat,0,0.000638893514405936,0.0,0.6130465865135193
145,1,1,flat,1,0.0005807910347357392,0.0,0.6045136451721191
146,1,1,flat,2,0.0006382238934747875,0.0,0.6060060262680054
147,1,1,flat,3,0.000582812528591603,0.0,0.6084836721420288
148,1,1,stairs_up,0,0.0014277494046837091,0.00621756911277771,0.49432313442230225
149,1,1,stairs_up,1,0.0005706222145818174,0.0,0.44673722982406616
150,1,1,stairs_up,2,0.001626392942853272,-0.0068315863609313965,0.43522727489471436
151,1,1,stairs_up,3,0.0029672873206436634,0.008201807737350464,0.4105132520198822
152,1,1,stairs_down,0,0.0005800267681479454,0.0,0.5015889406204224
153,1,1,stairs_down,1,0.008614934980869293,0.01457563042640686,0.46619781851768494
154,1,1,stairs_down,2,0.0005727075622417033,0.0,0.4455806314945221
155,1,1,stairs_down,3,0.0015934924595057964,0.0,0.4786889851093292
156,1,1,slope_up,0,0.0005803547101095319,0.0,0.5912162661552429
157,1,1,slope_up,1,0.0008016291540116072,0.0023837685585021973,0.5982561707496643
158,1,1,slope_up,2,0.0006962214247323573,0.0,0.5951216816902161
159,1,1,slope_up,3,0.0005825994885526597,0.0,0.5781239867210388
160,1,1,slope_down,0,0.0006860253633931279,0.000938713550567627,0.6038662195205688
161,1,1,slope_down,1,0.0005793322343379259,0.0,0.5831968784332275
162,1,1,slope_down,2,0.0005804888787679374,0.0,0.6033938527107239
163,1,1,slope_down,3,0.0006738794618286192,0.0,0.5999617576599121
164,1,1,random_rough,0,0.0010770115768536925,0.003603219985961914,0.5811507105827332
165,1,1,random_rough,1,0.0005906441365368664,0.0,0.4854770600795746
166,1,1,random_rough,2,0.0009173763100989163,0.0,0.39386922121047974
167,1,1,random_rough,3,0.0005720503977499902,0.0,0.19477435946464539
168,1,2,flat,0,0.0005802453961223364,0.0,0.5896144509315491
169,1,2,flat,1,0.0005908174207434058,0.0,0.5837161540985107
170,1,2,flat,2,0.0007228017202578485,0.0,0.5964450240135193
171,1,2,flat,3,0.0015585534274578094,0.00666964054107666,0.5913264155387878
172,1,2,stairs_up,0,0.0015853196382522583,0.0,0.48518630862236023
173,1,2,stairs_up,1,0.0009430744685232639,0.0,0.46360206604003906
174,1,2,stairs_up,2,0.004905916750431061,0.012754380702972412,0.47891783714294434
175,1,2,stairs_up,3,0.007182770408689976,0.013732969760894775,0.46076226234436035
176,1,2,stairs_down,0,0.0033581291791051626,0.011136233806610107,0.5624226331710815
177,1,2,stairs_down,1,0.000569189724046737,0.0,0.5007487535476685
178,1,2,stairs_down,2,0.000575978949200362,0.0,0.5395570397377014
179,1,2,stairs_down,3,0.0005929410108365119,0.0,0.5400579571723938
180,1,2,slope_up,0,0.0008734895382076502,0.0027346014976501465,0.5892804861068726
181,1,2,slope_up,1,0.0018017658730968833,0.007904291152954102,0.5643458962440491
182,1,2,slope_up,2,0.0005806818371638656,0.0,0.5943976640701294
183,1,2,slope_up,3,0.0013289112830534577,0.006263554096221924,0.5800485014915466
184,1,2,slope_down,0,0.0006032849778421223,0.0,0.5863990783691406
185,1,2,slope_down,1,0.0006071003153920174,0.0,0.5796007513999939
186,1,2,slope_down,2,0.000818326254375279,0.0026589035987854004,0.5866004824638367
187,1,2,slope_down,3,0.000591541116591543,0.0,0.5842381119728088
188,1,2,random_rough,0,0.0008603131864219904,0.003021240234375,0.553297221660614
189,1,2,random_rough,1,0.000836173421703279,0.0030251741409301758,0.4705910384654999
190,1,2,random_rough,2,0.0012542629847303033,-0.0027229487895965576,0.36361315846443176
191,1,2,random_rough,3,0.0006137749878689647,-0.01820044219493866,0.15524691343307495
192,1,3,flat,0,0.001645382377319038,0.007287263870239258,0.5760730504989624
193,1,3,flat,1,0.0010749652283266187,0.004767179489135742,0.5731737017631531
194,1,3,flat,2,0.0005809926660731435,0.0,0.5627163648605347
195,1,3,flat,3,0.0005805278196930885,0.0,0.562179684638977
196,1,3,stairs_up,0,0.0007371653919108212,0.0,0.510473370552063
197,1,3,stairs_up,1,0.001157923717983067,0.0036951303482055664,0.5080444812774658
198,1,3,stairs_up,2,0.0013049677945673466,0.002458631992340088,0.49946796894073486
199,1,3,stairs_up,3,0.004336159210652113,0.011341273784637451,0.464760422706604
200,1,3,stairs_down,0,0.0007413217681460083,0.0,0.5415263772010803
201,1,3,stairs_down,1,0.001079780631698668,0.004804670810699463,0.5429431796073914
202,1,3,stairs_down,2,0.016484007239341736,0.01917889714241028,0.5082564353942871
203,1,3,stairs_down,3,0.0033104901667684317,0.010653316974639893,0.556936502456665
204,1,3,slope_up,0,0.0006872923113405704,0.0,0.5544295907020569
205,1,3,slope_up,1,0.0005801754887215793,0.0,0.5465763807296753
206,1,3,slope_up,2,0.0005800494691357017,0.0,0.5566760897636414
207,1,3,slope_up,3,0.0008221862954087555,0.0,0.5553719997406006
208,1,3,slope_down,0,0.0006041079177521169,0.0,0.5572125911712646
209,1,3,slope_down,1,0.0005800573853775859,0.0,0.5501384735107422
210,1,3,slope_down,2,0.0005782564985565841,0.0,0.5582216382026672
211,1,3,slope_down,3,0.0005720105255022645,0.0,0.5464842915534973
212,1,3,random_rough,0,0.002166203921660781,0.00891941785812378,0.5395313501358032
213,1,3,random_rough,1,0.001837755786255002,0.0,0.44834277033805847
214,1,3,random_rough,2,0.0005677802837453783,0.0,0.3242413103580475
215,1,3,random_rough,3,0.0004471404245123267,-0.003600761294364929,0.16317398846149445
216,1,4,flat,0,0.000768275756854564,0.0,0.532051682472229
217,1,4,flat,1,0.0005804686807096004,0.0,0.5206187963485718
218,1,4,flat,2,0.0009626552928239107,0.0,0.5349469184875488
219,1,4,flat,3,0.001064708805643022,0.0008922219276428223,0.5464079976081848
220,1,4,stairs_up,0,0.0020611865911632776,0.006723612546920776,0.5006230473518372
221,1,4,stairs_up,1,0.001973044592887163,0.007931292057037354,0.47770583629608154
222,1,4,stairs_up,2,0.0010245215380564332,-0.005950272083282471,0.46179723739624023
223,1,4,stairs_up,3,0.008774306625127792,0.015546530485153198,0.44228076934814453
224,1,4,stairs_down,0,0.0012021749280393124,0.0,0.5213556289672852
225,1,4,stairs_down,1,0.0015410318737849593,0.0055027008056640625,0.5275825262069702
226,1,4,stairs_down,2,0.0026252344250679016,0.009909987449645996,0.5231583118438721
227,1,4,stairs_down,3,0.0014570472994819283,0.00400012731552124,0.5236656069755554
228,1,4,slope_up,0,0.0017000907100737095,0.007411777973175049,0.5272685289382935
229,1,4,slope_up,1,0.0023717700969427824,0.005267322063446045,0.5247617363929749
230,1,4,slope_up,2,0.0016680322587490082,0.0037800073623657227,0.5300462245941162
231,1,4,slope_up,3,0.0005802731029689312,0.0,0.5263338088989258
232,1,4,slope_down,0,0.0011824285611510277,0.0,0.5226569175720215
233,1,4,slope_down,1,0.0005764759844169021,0.0,0.5302585959434509
234,1,4,slope_down,2,0.0018132365075871348,0.007938683032989502,0.5205483436584473
235,1,4,slope_down,3,0.0006648539565503597,0.0,0.5199200510978699
236,1,4,random_rough,0,0.001184898312203586,0.004837214946746826,0.5057798027992249
237,1,4,random_rough,1,0.002050007926300168,0.006882667541503906,0.4125964641571045
238,1,4,random_rough,2,0.0004413156711962074,-0.007140010595321655,0.29282665252685547
239,1,4,random_rough,3,0.0006264253170229495,0.0,0.13531234860420227
240,2,0,flat,0,0.0008768219850026071,0.0033839941024780273,0.537300169467926
241,2,0,flat,1,0.0013255608500912786,0.004951834678649902,0.5397720336914062
242,2,0,flat,2,0.0005803611129522324,0.0,0.5363068580627441
243,2,0,flat,3,0.0006431935471482575,0.0,0.5433550477027893
244,2,0,stairs_up,0,0.0014333140570670366,0.00642925500869751,0.4381697475910187
245,2,0,stairs_up,1,0.001405350281856954,-0.017510026693344116,0.35792112350463867
246,2,0,stairs_up,2,0.004354163073003292,-0.01892182230949402,0.3213854730129242
247,2,0,stairs_up,3,0.0031944401562213898,0.009568244218826294,0.33160078525543213
248,2,0,stairs_down,0,0.008022208698093891,0.006469011306762695,0.4045542776584625
249,2,0,stairs_down,1,0.0005215947749093175,0.0,0.2712355852127075
250,2,0,stairs_down,2,0.0005799998762086034,0.0,0.23601247370243073
251,2,0,stairs_down,3,0.0028516105376183987,0.010047167539596558,0.2710105776786804
252,2,0,slope_up,0,0.0005799692589789629,0.0,0.5280300378799438
253,2,0,slope_up,1,0.0018615290755406022,0.0077086687088012695,0.5221086740493774
254,2,0,slope_up,2,0.0005880906246602535,0.0,0.5010119676589966
255,2,0,slope_up,3,0.0009640136850066483,0.0028380155563354492,0.49997156858444214
256,2,0,slope_down,0,0.003968299366533756,0.012135028839111328,0.5370931625366211
257,2,0,slope_down,1,0.0005801699589937925,0.0,0.5348398685455322
258,2,0,slope_down,2,0.000681853445712477,0.0009840130805969238,0.508445143699646
259,2,0,slope_down,3,0.00251331296749413,0.009510785341262817,0.5087565779685974
260,2,0,random_rough,0,0.0005790230352431536,0.0,0.5001280903816223
261,2,0,random_rough,1,0.0006471466622315347,0.0,0.43693020939826965
262,2,0,random_rough,2,0.005267317872494459,0.011456876993179321,0.31237006187438965
263,2,0,random_rough,3,0.002246083691716194,-0.0033895522356033325,0.19627179205417633
264,2,1,flat,0,0.0006020271102897823,0.0,0.5405145883560181
265,2,1,flat,1,0.0005802143132314086,0.0,0.5371907353401184
266,2,1,flat,2,0.0005791206494905055,0.0,0.5285540223121643
267,2,1,flat,3,0.0004914771998301148,-0.0018000006675720215,0.5273821353912354
268,2,1,stairs_up,0,0.001542285899631679,-0.027899831533432007,0.39822831749916077
269,2,1,stairs_up,1,0.0005782893858850002,0.0,0.33207735419273376
270,2,1,stairs_up,2,0.0013863117201253772,0.004455447196960449,0.3501144051551819
271,2,1,stairs_up,3,0.010798870585858822,-0.03417196869850159,0.2715851962566376
272,2,1,stairs_down,0,0.0005784559762105346,0.0,0.40382811427116394
273,2,1,stairs_down,1,0.0017214444233104587,-0.0037145912647247314,0.278439998626709
274,2,1,stairs_down,2,0.0005801040097139776,0.0,0.25658637285232544
275,2,1,stairs_down,3,0.00570119870826602,0.013924449682235718,0.2849732041358948
276,2,1,slope_up,0,0.0012700855731964111,0.004842162132263184,0.5384625196456909
277,2,1,slope_up,1,0.0007714902167208493,0.0,0.5137131214141846
278,2,1,slope_up,2,0.0014402816304937005,0.006596982479095459,0.5137091279029846
279,2,1,slope_up,3,0.0037289410829544067,0.011816471815109253,0.49948832392692566
280,2,1,slope_down,0,0.0006270576850511134,0.0,0.5262113213539124
281,2,1,slope_down,1,0.001020952477119863,0.00397723913192749,0.5421796441078186
282,2,1,slope_down,2,0.0005790118593722582,0.0,0.5121489763259888
283,2,1,slope_down,3,0.0005940476548857987,0.0,0.5065652132034302
284,2,1,random_rough,0,0.0005795859033241868,0.0,0.5034099817276001
285,2,1,random_rough,1,0.0007830781978555024,0.0,0.43018484115600586
286,2,1,random_rough,2,0.0015383700374513865,0.005089282989501953,0.3083122670650482
287,2,1,random_rough,3,0.0008326539536938071,-0.00755976140499115,0.16117914021015167
288,2,2,flat,0,0.0005804132088087499,0.0,0.5211294889450073
289,2,2,flat,1,0.0005681344191543758,0.0,0.5138765573501587
290,2,2,flat,2,0.0005812918534502387,0.0,0.5155801773071289
291,2,2,flat,3,0.0005978729459457099,0.0,0.5206692218780518
292,2,2,stairs_up,0,0.0007957824855111539,0.002720087766647339,0.3785228133201599
293,2,2,stairs_up,1,0.0036990270018577576,-0.007976412773132324,0.31107497215270996
