task_id,vx_bin,yaw_bin,terrain_type,terrain_level,probability,learning_progress,reward_ema
0,0,0,flat,0,0.0006205398240126669,0.0,0.7150258421897888
1,0,0,flat,1,0.0006841720314696431,0.0008407235145568848,0.7157266139984131
2,0,0,flat,2,0.0006030405638739467,0.0,0.712364912033081
3,0,0,flat,3,0.000633608375210315,0.0,0.7159199118614197
4,0,0,stairs_up,0,0.0006325135473161936,0.0,0.6632550954818726
5,0,0,stairs_up,1,0.0012508475920185447,0.0028454065322875977,0.6424518823623657
6,0,0,stairs_up,2,0.0008422605460509658,-0.007214248180389404,0.6433578133583069
7,0,0,stairs_up,3,0.002378099365159869,0.006506204605102539,0.6351317167282104
8,0,0,stairs_down,0,0.0007760182488709688,0.0,0.6756903529167175
9,0,0,stairs_down,1,0.0005349820712581277,0.0,0.6244999766349792
10,0,0,stairs_down,2,0.000634536612778902,0.0,0.6437427401542664
11,0,0,stairs_down,3,0.0035572638735175133,0.0053139328956604,0.660236656665802
12,0,0,slope_up,0,0.000641814898699522,0.0,0.7195081114768982
13,0,0,slope_up,1,0.0005508585018105805,-0.0011118650436401367,0.7125414609909058
14,0,0,slope_up,2,0.0006342518609017134,0.0,0.7097588777542114
15,0,0,slope_up,3,0.0006649402785114944,0.0,0.7088650465011597
16,0,0,slope_down,0,0.0005977157852612436,0.0,0.7187051773071289
17,0,0,slope_down,1,0.0007714267121627927,0.0012808442115783691,0.7131186127662659
18,0,0,slope_down,2,0.00079078518319875,0.0014277100563049316,0.7132838368415833
19,0,0,slope_down,3,0.0007644221186637878,0.0012477636337280273,0.7068824172019958
20,0,0,random_rough,0,0.0006343231070786715,0.0,0.699526309967041
21,0,0,random_rough,1,0.0006268664728850126,-7.468461990356445e-05,0.6574521660804749
22,0,0,random_rough,2,0.0008393647149205208,0.0,0.5563742518424988
23,0,0,random_rough,3,0.0006308567244559526,0.0,0.4270658493041992
24,0,1,flat,0,0.0005093918880447745,-0.001608431339263916,0.722280740737915
25,0,1,flat,1,0.0006710373563691974,0.0,0.7248136401176453
26,0,1,flat,2,0.0006567009259015322,0.0,0.7155671715736389
27,0,1,flat,3,0.0006520270253531635,0.0,0.7217044234275818
28,0,1,stairs_up,0,0.0006344656576402485,0.0,0.6999822854995728
29,0,1,stairs_up,1,0.0006333716446533799,0.0,0.6686919927597046
30,0,1,stairs_up,2,0.0006458877469412982,0.0,0.6859883069992065
31,0,1,stairs_up,3,0.0006347709568217397,0.0,0.6967960596084595
32,0,1,stairs_down,0,0.0006228856509551406,0.0,0.7088783383369446
33,0,1,stairs_down,1,0.0006294571794569492,0.0,0.7121520638465881
34,0,1,stairs_down,2,0.0009254796896129847,0.0023328065872192383,0.709597110748291
35,0,1,stairs_down,3,0.0006343078566715121,0.0,0.7021697759628296
36,0,1,slope_up,0,0.0006367479800246656,0.0,0.7136043906211853
37,0,1,slope_up,1,0.0005773853627033532,-0.0007265210151672363,0.7207013368606567
38,0,1,slope_up,2,0.0006002000300213695,-0.00041109323501586914,0.722096860408783
39,0,1,slope_up,3,0.0006337154773063958,0.0,0.7215895652770996
40,0,1,slope_down,0,0.0006318433443084359,0.0,0.719804048538208
41,0,1,slope_down,1,0.0006986248190514743,0.0005701184272766113,0.7142486572265625
42,0,1,slope_down,2,0.00076997623546049,0.0012764334678649902,0.7198250889778137
43,0,1,slope_down,3,0.0005933042266406119,-0.0005089044570922852,0.7195599675178528
44,0,1,random_rough,0,0.0006345052388496697,0.0,0.708173930644989
45,0,1,random_rough,1,0.0005415687919594347,-0.0030948519706726074,0.6513205766677856
46,0,1,random_rough,2,0.0003052985994145274,-0.018897175788879395,0.5657840967178345
47,0,1,random_rough,3,0.005260690581053495,-0.008046656847000122,0.41776201128959656
48,0,2,flat,0,0.0005822096136398613,-0.0006268620491027832,0.7225017547607422
49,0,2,flat,1,0.0005979452980682254,0.0,0.7216233015060425
50,0,2,flat,2,0.0006345243891701102,0.0,0.7176963090896606
51,0,2,flat,3,0.0006344622815959156,0.0,0.7149077653884888
52,0,2,stairs_up,0,0.0006681283703073859,0.0,0.7152831554412842
53,0,2,stairs_up,1,0.0005718784523196518,0.0,0.7050957679748535
54,0,2,stairs_up,2,0.0006345105939544737,0.0,0.6991755962371826
55,0,2,stairs_up,3,0.0005300210905261338,-0.0014096498489379883,0.7050628662109375
56,0,2,stairs_down,0,0.0006334513309411705,0.0,0.7172746062278748
57,0,2,stairs_down,1,0.0004103549290448427,-0.005006194114685059,0.7113521099090576
58,0,2,stairs_down,2,0.0006339699029922485,0.0,0.7064931392669678
59,0,2,stairs_down,3,0.0006363163120113313,0.0,0.7164416909217834
60,0,2,slope_up,0,0.0006339742103591561,0.0,0.7158662676811218
61,0,2,slope_up,1,0.0006776188383810222,0.0,0.7152098417282104
62,0,2,slope_up,2,0.0005074106738902628,-0.001984834671020508,0.71478271484375
63,0,2,slope_up,3,0.0007602943223901093,0.0,0.713997483253479
64,0,2,slope_down,0,0.000634525204077363,0.0,0.7185929417610168
65,0,2,slope_down,1,0.0006444670143537223,0.0,0.7135245203971863
66,0,2,slope_down,2,0.0006345333531498909,0.0,0.7174274921417236
67,0,2,slope_down,3,0.0006405195454135537,0.0,0.7172327637672424
68,0,2,random_rough,0,0.0005860038800165057,0.0,0.6962991952896118
69,0,2,random_rough,1,0.0006114631542004645,0.0,0.6426695585250854
70,0,2,random_rough,2,0.0027305318508297205,-0.010702371597290039,0.5455701351165771
71,0,2,random_rough,3,0.0014849321451038122,0.00022485852241516113,0.39946210384368896
72,0,3,flat,0,0.0006340124527923763,0.0,0.708289623260498
73,0,3,flat,1,0.0006315508508123457,0.0,0.7038165330886841
74,0,3,flat,2,0.0006250053993426263,0.0,0.7130337953567505
75,0,3,flat,3,0.0006331242620944977,0.0,0.7086464762687683
76,0,3,stairs_up,0,0.0006168765248730779,0.0,0.7043428421020508
77,0,3,stairs_up,1,0.0006343419081531465,0.0,0.6982536315917969
78,0,3,stairs_up,2,0.0006379014230333269,0.0,0.702751874923706
79,0,3,stairs_up,3,0.0006065806956030428,0.0,0.6944575309753418
80,0,3,stairs_down,0,0.0006354032084345818,0.0,0.7067687511444092
81,0,3,stairs_down,1,0.0006451137596741319,0.0,0.7073127627372742
82,0,3,stairs_down,2,0.0008023726986721158,0.0014699101448059082,0.71528559923172
83,0,3,stairs_down,3,0.0006593061261810362,0.0,0.7085279822349548
84,0,3,slope_up,0,0.0006355439545586705,0.0,0.7078481316566467
85,0,3,slope_up,1,0.0006402474828064442,0.0,0.7086611390113831
86,0,3,slope_up,2,0.0006391721544787288,6.729364395141602e-05,0.7075703740119934
87,0,3,slope_up,3,0.0006344956927932799,0.0,0.7079325914382935
88,0,3,slope_down,0,0.0006347634480334818,0.0,0.7079241871833801
89,0,3,slope_down,1,0.0005967491306364536,-0.0002727508544921875,0.7080491781234741
90,0,3,slope_down,2,0.00063452118774876,0.0,0.7070233821868896
91,0,3,slope_down,3,0.0006304057314991951,0.0,0.705146074295044
92,0,3,random_rough,0,0.0006282511167228222,0.0,0.6902874112129211
93,0,3,random_rough,1,0.0006350285839289427,0.0,0.6279216408729553
94,0,3,random_rough,2,0.0007926928228698671,0.0,0.5513229966163635
95,0,3,random_rough,3,0.0008394865435548127,0.0017372965812683105,0.35960647463798523
96,0,4,flat,0,0.0006288009462878108,0.0,0.6934674978256226
97,0,4,flat,1,0.00046857824781909585,-0.002990543842315674,0.6896548271179199
98,0,4,flat,2,0.0005594352842308581,-0.0009493231773376465,0.6960323452949524
99,0,4,flat,3,0.0005727628013119102,-0.0007919669151306152,0.692534863948822
100,0,4,stairs_up,0,0.0009234340977855027,0.0023703575134277344,0.6881976127624512
101,0,4,stairs_up,1,0.0008930779295042157,0.0021198391914367676,0.6874243021011353
102,0,4,stairs_up,2,0.0004268778138794005,-0.004008054733276367,0.688087522983551
