time_s,command_vx,mean_vx,mean_vy,mean_yaw,mean_power_w,alive_fraction,within_tolerance_fraction
0.02,0.0,0.01613648,-0.03029927,-0.10799734,5.7152762,1.0,1.0
0.02,0.2,0.20930716,-0.04544822,0.05110728,9.205286,1.0,1.0
0.02,0.4,0.3999346,-0.043316275,0.07946518,15.298151,1.0,1.0
0.02,0.6,0.5890662,-0.06480056,0.06495039,15.967387,1.0,1.0
0.02,0.8,0.8004788,-0.06691942,0.025414791,27.096216,1.0,1.0
0.02,1.0,1.0172281,-0.05628853,0.020954445,55.39939,1.0,1.0
0.02,1.2,1.2414625,-0.09373523,-0.08511435,102.628006,1.0,1.0
0.02,1.4,1.4557883,-0.09288907,-0.0053339703,164.29433,1.0,1.0
0.02,1.6,1.6635237,-0.12598509,-0.02252798,232.43437,1.0,1.0
0.02,1.8,1.8401953,-0.112625256,-0.063615605,277.32608,1.0,1.0
0.02,2.0,1.9874054,-0.12061092,-0.035830818,294.841,1.0,1.0
0.02,2.2,2.1646376,-0.109255254,-0.031881988,194.78433,1.0,1.0
0.02,2.4,2.333584,-0.04234609,-0.18250248,269.58978,1.0,0.875
0.02,2.6,2.553784,-0.024515785,-0.16661009,142.21739,1.0,0.9375
0.02,2.8,2.7066092,-0.022150189,0.16006862,216.3381,1.0,0.9375
0.02,3.0,2.7946243,-0.0010470077,0.08262993,534.98376,1.0,1.0
0.02,3.2,2.9500368,-0.032252885,0.1311023,659.83014,1.0,1.0
0.02,3.4,3.0240464,-0.03920475,0.24573398,761.1727,1.0,0.0
0.02,3.6,3.1200688,-0.06793743,0.29974785,760.0105,1.0,0.0
0.02,3.8,3.3051558,-0.046948716,0.72751313,307.97818,1.0,0.0
0.02,4.0,0.0033399058,0.0012075359,-0.049428236,13.624235,1.0,0.0
0.02,4.2,-0.002419563,-0.006278899,0.008594193,3.7507422,1.0,0.0
0.02,4.4,-0.0051361574,-0.0013058616,0.018659683,1.3186827,1.0,0.0
0.02,4.6,-0.004046588,-0.00068154844,0.015263972,1.3712735,1.0,0.0
0.02,4.8,-0.002879268,0.00080149266,0.008064095,1.7979803,1.0,0.0
0.02,5.0,-0.0028097185,0.00050553307,0.010047071,0.9157352,1.0,0.0
0.04,0.0,0.026237383,-0.027626518,-0.12785177,3.2412007,1.0,1.0
0.04,0.2,0.2046506,-0.033707276,-0.035119526,11.914877,1.0,1.0
0.04,0.4,0.41777304,-0.042705707,0.093753934,17.302357,1.0,1.0
0.04,0.6,0.5903603,-0.06162998,0.06259552,15.897039,1.0,1.0
0.04,0.8,0.7869689,-0.06318476,0.044877198,19.004904,1.0,1.0
0.04,1.0,0.992964,-0.052394144,0.05062435,39.18401,1.0,1.0
0.04,1.2,1.20907,-0.086508535,-0.033373084,78.92613,1.0,1.0
0.04,1.4,1.4189534,-0.08063895,0.007161203,138.72266,1.0,1.0
0.04,1.6,1.6195252,-0.10986374,0.0043085353,203.54172,1.0,1.0
0.04,1.8,1.7971153,-0.09561178,-0.04083206,220.59398,1.0,1.0
0.04,2.0,1.9606164,-0.10911081,-0.041001447,167.07727,1.0,1.0
0.04,2.2,2.162716,-0.101516396,-0.10560878,228.32556,1.0,1.0
0.04,2.4,2.3479476,-0.044772364,-0.17986873,209.88261,1.0,0.9375
0.04,2.6,2.5541284,-0.036115117,0.055186063,253.65155,1.0,1.0
0.04,2.8,2.6577127,-0.024236724,-0.033594117,444.70258,1.0,1.0
0.04,3.0,2.8117213,0.012337573,-0.1644249,594.9446,1.0,0.875
0.04,3.2,3.0046158,-0.0425419,-0.18692562,739.1028,1.0,0.625
0.04,3.4,3.0749874,-0.04575665,-0.07391515,716.15857,1.0,1.0
0.04,3.6,3.1547086,-0.06979701,0.04651787,785.32556,1.0,0.0
0.04,3.8,3.162238,-0.088107646,0.44318056,800.01965,1.0,0.0
0.04,4.0,-0.0005809368,-0.005005257,-0.053759966,14.665586,1.0,0.0
0.04,4.2,-0.0020958958,-0.005988459,0.008893254,3.5008304,1.0,0.0
0.04,4.4,-0.0048086066,-0.0014364325,0.019076131,1.8401961,1.0,0.0
0.04,4.6,-0.003989064,-0.00027360773,0.015887339,1.3287995,1.0,0.0
0.04,4.8,-0.0028295286,0.0008336557,0.007827482,1.8271828,1.0,0.0
0.04,5.0,-0.0027069729,0.0005876159,0.01110216,1.0924574,1.0,0.0
0.06,0.0,0.03277929,-0.02504832,-0.15433502,3.0192297,1.0,1.0
0.06,0.2,0.199433,-0.030891351,-0.07494001,8.575678,1.0,1.0
0.06,0.4,0.43872672,-0.041471325,0.07433975,19.409483,1.0,1.0
0.06,0.6,0.6039683,-0.058300063,0.05882038,22.324673,1.0,1.0
0.06,0.8,0.78799474,-0.058972627,0.04056437,26.64936,1.0,1.0
0.06,1.0,0.9833434,-0.04726342,0.04613424,33.81136,1.0,1.0
0.06,1.2,1.1875002,-0.08296698,-0.0093033295,40.212288,1.0,1.0
0.06,1.4,1.3885458,-0.07559642,0.025885832,82.19685,1.0,1.0
0.06,1.6,1.5864738,-0.0999064,0.024043748,141.70334,1.0,1.0
0.06,1.8,1.7683883,-0.08870271,-0.03650093,107.49735,1.0,1.0
0.06,2.0,1.9497315,-0.10031451,-0.08839126,167.8656,1.0,1.0
0.06,2.2,2.17176,-0.10123983,-0.1432135,211.67676,1.0,1.0
0.06,2.4,2.3695931,-0.04821706,-0.12828937,120.44158,1.0,1.0
0.06,2.6,2.5266113,-0.032141946,-0.020106262,349.161,1.0,1.0
0.06,2.8,2.681088,-0.0072695464,-0.2620846,507.22028,1.0,0.0625
0.06,3.0,2.823095,0.0035755634,-0.3535725,727.2362,1.0,0.0
0.06,3.2,2.956159,-0.07532487,-0.40838826,790.1001,1.0,0.0
0.06,3.4,3.0292761,-0.08447399,-0.41323364,816.4194,1.0,0.0
0.06,3.6,3.1105125,-0.10691369,-0.28836048,856.4193,1.0,0.0
0.06,3.8,3.170203,-0.06529985,0.2507879,960.7546,1.0,0.0
0.06,4.0,-0.0049762125,-0.012116505,-0.052591715,13.024065,1.0,0.0
0.06,4.2,-0.0023019293,-0.0061866185,0.00870868,3.7414608,1.0,0.0
0.06,4.4,-0.0049363943,-0.0011133959,0.018243406,2.1541543,1.0,0.0
0.06,4.6,-0.0040577813,-1.9477666e-06,0.015261022,1.3584611,1.0,0.0
0.06,4.8,-0.0026326356,0.0008617153,0.01024259,1.849545,1.0,0.0
0.06,5.0,-0.0028483146,0.00085083005,0.011625269,1.1846905,1.0,0.0
0.08,0.0,0.036394835,-0.023234375,-0.19604152,7.1735992,1.0,1.0
0.08,0.2,0.19922362,-0.033102885,-0.0787944,7.747487,1.0,1.0
0.08,0.4,0.43047836,-0.037080355,0.060022566,12.054604,1.0,1.0
0.08,0.6,0.626381,-0.058132414,0.08594708,24.248257,1.0,1.0
0.08,0.8,0.8034675,-0.055210885,0.035413463,34.746468,1.0,1.0
0.08,1.0,0.9938897,-0.042853944,0.02849446,52.973602,1.0,1.0
0.08,1.2,1.1860317,-0.078577,-0.028213976,61.844276,1.0,1.0
0.08,1.4,1.3749231,-0.0703676,0.0022106026,65.85426,1.0,1.0
0.08,1.6,1.5678623,-0.09446764,-0.0023967067,83.93773,1.0,1.0
0.08,1.8,1.759206,-0.0845003,-0.071980745,139.09175,1.0,1.0
0.08,2.0,1.9580716,-0.09821446,-0.12834978,189.81416,1.0,1.0
0.08,2.2,2.1889892,-0.10131937,-0.14142972,142.70654,1.0,1.0
0.08,2.4,2.377469,-0.043955512,0.012919599,154.41946,1.0,1.0
0.08,2.6,2.5270562,-0.010516018,-0.21081463,377.9538,1.0,0.4375
0.08,2.8,2.6944442,-0.017102808,-0.35226998,624.1908,1.0,0.0
0.08,3.0,2.8293242,0.006486118,-0.5519433,688.9347,1.0,0.0
0.08,3.2,2.9687572,-0.073714204,-0.5908349,614.59937,1.0,0.0
0.08,3.4,3.0502748,-0.08586607,-0.59082544,660.57043,1.0,0.0
0.08,3.6,3.135746,-0.10881715,-0.5367812,738.82947,1.0,0.0
0.08,3.8,3.1226676,-0.09732193,-0.114155926,895.3037,1.0,0.0
0.08,4.0,-0.0154692205,-0.022881644,-0.04433661,11.471193,1.0,0.0
0.08,4.2,-0.0022194672,-0.006223229,0.0070667993,3.5882344,1.0,0.0
0.08,4.4,-0.004395717,-0.0009335017,0.017410148,2.5673313,1.0,0.0
0.08,4.6,-0.003800601,-3.514142e-07,0.016720096,1.3412482,1.0,0.0
0.08,4.8,-0.0026091437,0.0008607912,0.009343159,1.8320904,1.0,0.0
0.08,5.0,-0.002748279,0.0015018706,0.011284342,1.7592361,1.0,0.0
0.1,0.0,0.036157522,-0.02456307,-0.17693782,10.473084,1.0,1.0
0.1,0.2,0.20250541,-0.031933423,-0.09516825,6.2709785,1.0,1.0
0.1,0.4,0.42214212,-0.023292065,-0.0012696558,14.867014,1.0,1.0
0.1,0.6,0.6524797,-0.055130057,0.07637374,21.329597,1.0,1.0
0.1,0.8,0.82768077,-0.05429799,0.07602368,34.25934,1.0,1.0
0.1,1.0,1.0170088,-0.042030506,0.049299497,52.530632,1.0,1.0
0.1,1.2,1.2036481,-0.076324135,-0.043004453,74.826004,1.0,1.0
0.1,1.4,1.3866355,-0.06516507,-0.017599382,92.83305,1.0,1.0
0.1,1.6,1.5728977,-0.090976775,-0.035123125,118.99973,1.0,1.0
0.1,1.8,1.7741576,-0.085082754,-0.09722871,157.65852,1.0,1.0
0.1,2.0,1.975311,-0.09839078,-0.1447477,155.3547,1.0,1.0
0.1,2.2,2.211031,-0.10105768,-0.05299571,146.45833,1.0,1.0
0.1,2.4,2.3371305,-0.020050302,-0.23694012,311.18018,1.0,0.0625
0.1,2.6,2.5544784,-0.009195514,-0.26825783,419.31885,1.0,0.0
0.1,2.8,2.6902516,-0.012998454,-0.46312377,604.0116,1.0,0.0
0.1,3.0,2.8314261,0.017785944,-0.60454184,464.92957,1.0,0.0
0.1,3.2,2.9720707,-0.055327006,-0.5638329,314.37946,1.0,0.0
0.1,3.4,3.0668125,-0.065456636,-0.5327891,353.0915,1.0,0.0
0.1,3.6,3.150583,-0.09284381,-0.57543874,435.8893,1.0,0.0
0.1,3.8,3.1562996,-0.111954,-0.5148989,774.5544,1.0,0.0
0.1,4.0,-0.01686906,-0.03351978,-0.058535673,13.691066,1.0,0.0
0.1,4.2,-0.00276246,-0.0062891203,0.0073413095,3.7059455,1.0,0.0
0.1,4.4,-0.0040290225,-0.0008647825,0.016402517,2.8820868,1.0,0.0
0.1,4.6,-0.003944595,0.00026981934,0.01501292,1.3753089,1.0,0.0
0.1,4.8,-0.0025902328,0.00078488246,0.0087930355,1.8269526,1.0,0.0
0.1,5.0,-0.0024586255,0.0018548301,0.010559203,1.6049521,1.0,0.0
0.12,0.0,0.024406046,-0.026554693,-0.11484722,2.1602793,1.0,1.0
0.12,0.2,0.20590553,-0.029880848,-0.11453821,4.5187254,1.0,1.0
0.12,0.4,0.4136907,-0.019966016,-0.03721898,11.006191,1.0,1.0
0.12,0.6,0.6535536,-0.043000527,0.044857573,25.325111,1.0,1.0
0.12,0.8,0.857461,-0.04904345,0.09558845,25.966125,1.0,1.0
0.12,1.0,1.0437949,-0.04176917,0.10540304,46.04468,1.0,1.0
0.12,1.2,1.2292316,-0.07950175,-0.0037695842,68.311905,1.0,1.0
0.12,1.4,1.4083267,-0.06511645,0.007135073,88.32225,1.0,1.0
0.12,1.6,1.5924727,-0.090294704,-0.050166946,118.41471,1.0,1.0
0.12,1.8,1.7942797,-0.08742292,-0.099031195,127.3423,1.0,1.0
0.12,2.0,1.998987,-0.10015343,-0.08480948,91.991776,1.0,1.0
0.12,2.2,2.187533,-0.08426291,-0.16572809,225.36644,1.0,0.875
0.12,2.4,2.3582358,0.0032935515,-0.37648565,381.7129,1.0,0.0
0.12,2.6,2.5411377,-0.016767994,-0.31037146,553.16455,1.0,0.0
0.12,2.8,2.6826203,-0.0045007616,-0.5113021,396.003,1.0,0.0
0.12,3.0,2.8378277,0.03726881,-0.48237842,300.02563,1.0,0.0
0.12,3.2,2.978869,-0.03698419,-0.2727741,354.49725,1.0,0.0
0.12,3.4,3.0763407,-0.04466425,-0.18179707,394.35,1.0,0.75
0.12,3.6,3.1614935,-0.063949876,-0.29577953,463.06064,1.0,0.0
0.12,3.8,3.1860015,-0.10640566,-0.6201694,585.7904,1.0,0.0
0.12,4.0,-0.02175715,-0.044128474,-0.0705648,14.930087,1.0,0.0
0.12,4.2,-0.0024088789,-0.0064119035,0.008883619,3.5359144,1.0,0.0
0.12,4.4,-0.003718297,-0.0007852082,0.016748797,3.039266,1.0,0.0
