time_s,command_vx,mean_vx,mean_vy,mean_yaw,mean_power_w,alive_fraction,within_tolerance_fraction
0.06,3.0,2.9397292,-0.024474401,0.0785161,281.51917,1.0,1.0
0.06,3.2,3.0399356,-0.044370107,0.6239195,540.6219,1.0,0.0
0.06,3.4,3.1261883,-0.042764015,0.74647737,736.9014,1.0,0.0
0.06,3.6,3.2245514,-0.0542451,0.76067984,717.2612,1.0,0.0
0.06,3.8,3.3555696,-0.03874619,0.94058526,644.4861,1.0,0.0
0.06,4.0,-0.003216865,-0.008638088,-0.016379135,6.7860727,1.0,0.0
0.06,4.2,-0.0031044027,-0.0069816867,0.022141688,4.409485,1.0,0.0
0.06,4.4,-0.00083967176,-0.0082152765,0.022637615,3.779314,1.0,0.0
0.06,4.6,-0.0019446199,-0.002714698,0.0153902415,4.5012836,1.0,0.0
0.06,4.8,-0.0024872972,-0.0050448882,0.015558424,7.411371,1.0,0.0
0.06,5.0,-0.004933377,-0.0032941536,0.049211472,8.041656,1.0,0.0
0.08,0.0,-0.006811572,-0.017350562,0.13846946,4.707751,1.0,1.0
0.08,0.2,0.17686108,-0.016068988,0.04604821,9.3995905,1.0,1.0
0.08,0.4,0.3952235,-0.014631478,-0.10666676,14.982653,1.0,1.0
0.08,0.6,0.564607,0.0072252387,-0.06794837,20.64783,1.0,1.0
0.08,0.8,0.7627904,0.025089854,-0.015253508,21.865044,1.0,1.0
0.08,1.0,0.9719164,0.027934339,0.04383227,36.05626,1.0,1.0
0.08,1.2,1.1799247,0.028090484,0.11432085,60.014626,1.0,1.0
0.08,1.4,1.3787068,0.019554544,0.112093635,91.78132,1.0,1.0
0.08,1.6,1.5744425,0.004505355,0.046368726,113.97447,1.0,1.0
0.08,1.8,1.7581081,-0.014849237,-0.14685322,82.61093,1.0,1.0
0.08,2.0,1.9863322,-0.0359917,-0.271806,172.38786,1.0,0.0
0.08,2.2,2.188497,-0.09178287,-0.31826138,311.4239,1.0,0.0
0.08,2.4,2.3205757,-0.10191791,-0.1659642,464.26465,1.0,0.875
0.08,2.6,2.5238686,-0.09840652,-0.37163943,229.15016,1.0,0.0
0.08,2.8,2.7575226,-0.039914772,-0.2511055,163.26993,1.0,0.0
0.08,3.0,2.8763323,-0.053388514,0.5230962,462.60587,1.0,0.0
0.08,3.2,3.0116165,-0.04454876,0.4914871,874.4577,1.0,0.0
0.08,3.4,3.131349,-0.051357806,0.39432028,955.8557,1.0,0.0
0.08,3.6,3.215769,-0.059003912,0.45181793,1012.2722,1.0,0.0
0.08,3.8,3.2906919,-0.044058967,0.5599579,1085.9226,1.0,0.0
0.08,4.0,-0.0009793311,0.0026329618,-0.013152564,6.741538,1.0,0.0
