task_id,vx_bin,vy_bin,yaw_bin,probability,learning_progress,reward_ema
0,0,0,0,0.0007356023997999728,0.0,0.6794300079345703
1,0,0,1,0.0009859667625278234,0.0015812516212463379,0.6760836839675903
2,0,0,2,0.007359994575381279,0.003053605556488037,0.6196398735046387
3,0,0,3,0.001463274355046451,-0.0014579296112060547,0.6323674321174622
4,0,0,4,0.0009151478880085051,-0.003609597682952881,0.6128168702125549
5,0,0,5,0.0018966562347486615,0.00010377168655395508,0.6067215204238892
6,0,0,6,0.0020876380149275064,0.0027603507041931152,0.5911694169044495
7,0,0,7,0.0005203192704357207,-0.006049036979675293,0.5704198479652405
8,0,0,8,0.004565717652440071,0.00629812479019165,0.5768843293190002
9,0,0,9,0.003917428199201822,-0.047231078147888184,0.5218932032585144
10,0,1,0,0.0015888658817857504,0.0017895102500915527,0.6282059550285339
11,0,1,1,0.03672467917203903,0.011633694171905518,0.5977113842964172
12,0,1,2,0.011558705009520054,-0.004038751125335693,0.5531825423240662
13,0,1,3,0.0051165553741157055,0.006275773048400879,0.5881247520446777
14,0,1,4,0.01189678069204092,-0.002413928508758545,0.5625892877578735
15,0,1,5,0.003620321163907647,0.004660308361053467,0.5490629076957703
16,0,1,6,0.003246692242100835,0.004432618618011475,0.546751856803894
17,0,1,7,0.0016774776158854365,-0.003154933452606201,0.5466362237930298
18,0,1,8,0.004714652430266142,0.004461824893951416,0.5110243558883667
19,0,1,9,0.0022021709010004997,0.0016067028045654297,0.52140212059021
20,0,2,0,0.00461368914693594,0.002031385898590088,0.5300267338752747
21,0,2,1,0.010989079251885414,-0.03435635566711426,0.48752743005752563
22,0,2,2,0.0008478917297907174,-0.005909383296966553,0.4993152618408203
23,0,2,3,0.009505752474069595,0.008082330226898193,0.5077842473983765
24,0,2,4,0.01158949825912714,-0.004153251647949219,0.49080681800842285
25,0,2,5,0.0028721652925014496,0.004201620817184448,0.47394514083862305
26,0,2,6,0.0317736454308033,0.009659737348556519,0.4644717276096344
27,0,2,7,0.01296875812113285,0.0076548755168914795,0.46667852997779846
28,0,2,8,0.002368941903114319,2.682209014892578e-06,0.46658504009246826
29,0,2,9,0.0021774834021925926,0.0017912685871124268,0.4578917622566223
30,1,0,0,0.008069121278822422,0.004616469144821167,0.4963635504245758
31,1,0,1,0.02637811377644539,0.010105013847351074,0.4739443361759186
32,1,0,2,0.023643378168344498,0.01002657413482666,0.4747289717197418
33,1,0,3,0.008533457294106483,0.0022176802158355713,0.4688972234725952
34,1,0,4,0.01819911226630211,0.00961291790008545,0.44450801610946655
35,1,0,5,0.0037054275162518024,0.004949659109115601,0.4419199824333191
36,1,0,6,0.038013529032468796,0.011286228895187378,0.4286901652812958
37,1,0,7,0.004093632567673922,0.004824519157409668,0.4183635711669922
38,1,0,8,0.014556649141013622,0.008272886276245117,0.4247819781303406
39,1,0,9,0.01593601331114769,0.009118378162384033,0.4194018244743347
40,1,1,0,0.016352804377675056,0.00845000147819519,0.4873895049095154
41,1,1,1,0.007905153557658195,0.004488736391067505,0.46082353591918945
42,1,1,2,0.010649087838828564,0.007649213075637817,0.4636964797973633
43,1,1,3,0.006123802624642849,0.0030151009559631348,0.4410821795463562
44,1,1,4,0.0034587739501148462,0.003558814525604248,0.43331167101860046
45,1,1,5,0.0248215701431036,0.010270148515701294,0.4174289405345917
46,1,1,6,0.006779507268220186,0.006330281496047974,0.41642045974731445
47,1,1,7,0.00986667349934578,0.006418138742446899,0.41188064217567444
48,1,1,8,0.024770084768533707,0.009543895721435547,0.3968207836151123
49,1,1,9,0.037102531641721725,0.01213863492012024,0.4040982127189636
50,1,2,0,0.007454567588865757,-0.002049475908279419,0.4415625035762787
51,1,2,1,0.010394719429314137,0.008245199918746948,0.42984333634376526
52,1,2,2,0.03646513447165489,0.014223307371139526,0.4286254942417145
53,1,2,3,0.007112318649888039,0.007123351097106934,0.421195387840271
54,1,2,4,0.011552607640624046,0.00855305790901184,0.40962591767311096
55,1,2,5,0.004598393104970455,0.002330869436264038,0.38798463344573975
56,1,2,6,0.028751756995916367,0.010661661624908447,0.3848002552986145
57,1,2,7,0.0035298552829772234,0.004747629165649414,0.37229400873184204
58,1,2,8,0.014902244322001934,0.005625367164611816,0.3519684076309204
59,1,2,9,0.011934655718505383,0.008449941873550415,0.37524229288101196
60,2,0,0,0.015847714617848396,0.009195387363433838,0.4558841586112976
61,2,0,1,0.0007217886741273105,0.0,0.39662566781044006
62,2,0,2,0.006257286295294762,0.007106125354766846,0.39360547065734863
63,2,0,3,0.0008420333033427596,-0.0028187036514282227,0.3753499686717987
64,2,0,4,0.005768639966845512,0.005785882472991943,0.3502585291862488
65,2,0,5,0.036268450319767,0.013900339603424072,0.35441240668296814
66,2,0,6,0.0008121249848045409,-0.0021342337131500244,0.34068596363067627
67,2,0,7,0.00244567240588367,-0.00469169020652771,0.3159622251987457
68,2,0,8,0.0061771622858941555,0.006591856479644775,0.3351009786128998
69,2,0,9,0.0020713594276458025,0.0,0.33287110924720764
70,2,1,0,0.0010115222539752722,-0.015842437744140625,0.4219386577606201
71,2,1,1,0.0008794318418949842,-0.0014048218727111816,0.4060598611831665
72,2,1,2,0.0027711098082363605,0.0036679506301879883,0.38967135548591614
73,2,1,3,0.006108472123742104,0.006896615028381348,0.3835360109806061
74,2,1,4,0.0010300705907866359,-0.0003101527690887451,0.3636966049671173
75,2,1,5,0.004638317506760359,0.006124019622802734,0.3537639379501343
