task_id,vx_bin,vy_bin,yaw_bin,probability,learning_progress,reward_ema
0,0,0,0,0.01671435311436653,0.017075061798095703,0.6591929197311401
1,0,0,1,0.01421319879591465,0.015056729316711426,0.6051431894302368
2,0,0,2,0.012874158099293709,0.015551924705505371,0.5868900418281555
3,0,0,3,0.023024950176477432,0.01971524953842163,0.5705141425132751
4,0,0,4,0.008597895503044128,0.01372593641281128,0.5437242388725281
5,0,0,5,0.004490342922508717,-0.002057671546936035,0.5140341520309448
6,0,0,6,0.011301268823444843,0.015810012817382812,0.5405123829841614
7,0,0,7,0.0071664173156023026,0.010222434997558594,0.5410863757133484
8,0,0,8,0.011948652565479279,0.012448906898498535,0.5394642949104309
9,0,0,9,0.01277088187634945,0.014303922653198242,0.5486342906951904
10,0,1,0,0.015149791724979877,0.017074286937713623,0.5816846489906311
11,0,1,1,0.012722590006887913,0.016008496284484863,0.5390425324440002
12,0,1,2,0.0153083810582757,0.01717931032180786,0.5215440988540649
13,0,1,3,0.011933950707316399,0.015633374452590942,0.4968372583389282
14,0,1,4,0.01466278824955225,0.017717599868774414,0.49176090955734253
15,0,1,5,0.006646936759352684,0.010754317045211792,0.46836116909980774
16,0,1,6,0.011429354548454285,0.015906333923339844,0.4741562306880951
17,0,1,7,0.0061864107847213745,0.009059727191925049,0.47989583015441895
18,0,1,8,0.00676757050678134,0.011392086744308472,0.4755740761756897
19,0,1,9,0.008939925581216812,0.01353466510772705,0.47230756282806396
20,0,2,0,0.010016176849603653,0.01411542296409607,0.5076718926429749
21,0,2,1,0.008525005541741848,0.014352291822433472,0.44963836669921875
22,0,2,2,0.010143856517970562,0.015046387910842896,0.4434792995452881
23,0,2,3,0.007469870150089264,0.0129261314868927,0.4321620464324951
24,0,2,4,0.0067483712919056416,0.012230873107910156,0.4139735996723175
25,0,2,5,0.003802476916462183,0.008387982845306396,0.39235764741897583
26,0,2,6,0.002301542554050684,0.003319978713989258,0.3907518684864044
27,0,2,7,0.004080626182258129,0.009721130132675171,0.39034131169319153
28,0,2,8,0.00546678714454174,0.009820371866226196,0.3994266986846924
29,0,2,9,0.007833674550056458,0.01242685317993164,0.3989607095718384
30,1,0,0,0.007546897977590561,0.011684536933898926,0.4601120948791504
31,1,0,1,0.004833512008190155,0.0069017112255096436,0.41518285870552063
32,1,0,2,0.007909559644758701,0.013867318630218506,0.39278295636177063
33,1,0,3,0.007685493212193251,0.013461410999298096,0.38174301385879517
34,1,0,4,0.004612898454070091,0.00984203815460205,0.36166584491729736
35,1,0,5,0.0024837800301611423,0.0048583149909973145,0.3447883129119873
36,1,0,6,0.0033010365441441536,0.00760921835899353,0.34410712122917175
37,1,0,7,0.003977274522185326,0.008062511682510376,0.35122808814048767
38,1,0,8,0.00481350626796484,0.009166538715362549,0.342837929725647
39,1,0,9,0.005229388363659382,0.01006123423576355,0.3461899757385254
40,1,1,0,0.010234753601253033,0.01452907919883728,0.4475548565387726
41,1,1,1,0.0046843900345265865,0.009356319904327393,0.3952096104621887
42,1,1,2,0.005549835041165352,0.009919196367263794,0.38816168904304504
43,1,1,3,0.005925602279603481,0.011525213718414307,0.3696396052837372
44,1,1,4,0.0036203707568347454,0.007185518741607666,0.3611023426055908
45,1,1,5,0.005013450980186462,0.010498613119125366,0.3402719795703888
46,1,1,6,0.0048065935261547565,0.009889930486679077,0.3368832468986511
47,1,1,7,0.003093067090958357,0.0066963136196136475,0.3352413773536682
48,1,1,8,0.007003391161561012,0.01323673129081726,0.33513766527175903
49,1,1,9,0.00446153711527586,0.009795278310775757,0.33189988136291504
50,1,2,0,0.008238024078309536,0.013201713562011719,0.4201723635196686
51,1,2,1,0.00773184048011899,0.012340843677520752,0.3776305913925171
52,1,2,2,0.007952343672513962,0.013197094202041626,0.36745524406433105
53,1,2,3,0.0051312558352947235,0.010535955429077148,0.3564937114715576
54,1,2,4,0.007343105971813202,0.013499557971954346,0.33557844161987305
55,1,2,5,0.0035301523748785257,0.006877869367599487,0.3248671293258667
56,1,2,6,0.0034979251213371754,0.008233219385147095,0.3136361539363861
57,1,2,7,0.0038034783210605383,0.008825898170471191,0.3139192759990692
58,1,2,8,0.003192082280293107,0.006862610578536987,0.31283241510391235
59,1,2,9,0.004505143966525793,0.010104984045028687,0.31217649579048157
60,2,0,0,0.007928984239697456,0.013450145721435547,0.4035707712173462
61,2,0,1,0.005363364703953266,0.010745912790298462,0.35881999135017395
62,2,0,2,0.006881914101541042,0.011681407690048218,0.3384930491447449
