task_id,vx_bin,vy_bin,yaw_bin,probability,learning_progress,reward_ema
0,0,0,0,0.005686386488378048,0.01369011402130127,0.704888105392456
1,0,0,1,0.0021599428728222847,-0.0126839280128479,0.6623951196670532
2,0,0,2,0.0008489094325341284,-0.004060626029968262,0.6359229683876038
3,0,0,3,0.00753561407327652,0.016042590141296387,0.6169837713241577
4,0,0,4,0.0013550241710618138,0.0013037323951721191,0.6306523084640503
5,0,0,5,0.002125148195773363,0.007707536220550537,0.6239027380943298
6,0,0,6,0.006469382904469967,0.01568382978439331,0.6030363440513611
7,0,0,7,0.006184075027704239,0.015770256519317627,0.5922847390174866
8,0,0,8,0.0019415696151554585,0.003380894660949707,0.6122543811798096
9,0,0,9,0.006201271433383226,0.015522122383117676,0.6017130613327026
10,0,1,0,0.010695522651076317,0.01674550771713257,0.6906911730766296
11,0,1,1,0.002245488576591015,0.005388200283050537,0.658101499080658
12,0,1,2,0.004243009258061647,0.012473046779632568,0.649395763874054
13,0,1,3,0.003415260463953018,0.00903993844985962,0.6387752890586853
14,0,1,4,0.0021594443824142218,0.00625300407409668,0.6226300597190857
15,0,1,5,0.0025838075671344995,0.006782412528991699,0.6052783131599426
16,0,1,6,0.002798154018819332,0.005513310432434082,0.5944059491157532
17,0,1,7,0.003092806786298752,0.00988835096359253,0.5997267961502075
18,0,1,8,0.0030533354729413986,0.010097682476043701,0.5877533555030823
19,0,1,9,0.003946524579077959,0.011789202690124512,0.5864986181259155
20,0,2,0,0.013027120381593704,0.017891287803649902,0.6412022113800049
21,0,2,1,0.006110891699790955,0.013270735740661621,0.6402333974838257
22,0,2,2,0.004134300630539656,0.011437833309173584,0.6269417405128479
23,0,2,3,0.0014873796608299017,0.0003871917724609375,0.5959947109222412
24,0,2,4,0.0017718863673508167,0.0032681822776794434,0.5877503156661987
25,0,2,5,0.003541716141626239,0.011166155338287354,0.565158486366272
26,0,2,6,0.0024076304398477077,0.005378246307373047,0.570292592048645
27,0,2,7,0.003542659105733037,0.010928928852081299,0.5618339776992798
28,0,2,8,0.002425138372927904,0.006372988224029541,0.5634788274765015
29,0,2,9,0.0024573435075581074,0.006098151206970215,0.5627255439758301
30,1,0,0,0.010095013305544853,0.018220067024230957,0.6356765031814575
31,1,0,1,0.007479056715965271,0.014707088470458984,0.6289759874343872
32,1,0,2,0.0032790403347462416,0.008866310119628906,0.6048170924186707
33,1,0,3,0.004607097711414099,0.011454284191131592,0.5847963094711304
34,1,0,4,0.0037371539510786533,0.010919272899627686,0.5640233159065247
35,1,0,5,0.00455509964376688,0.01028144359588623,0.5591449737548828
36,1,0,6,0.004686571657657623,0.01159048080444336,0.5544925332069397
37,1,0,7,0.002364102052524686,0.0018608570098876953,0.5494654178619385
38,1,0,8,0.005819291807711124,0.013151586055755615,0.5506131052970886
39,1,0,9,0.004935893230140209,0.012838959693908691,0.549132764339447
40,1,1,0,0.010392505675554276,0.017821013927459717,0.6375948190689087
41,1,1,1,0.005621345713734627,0.012019217014312744,0.6140214800834656
42,1,1,2,0.003542594611644745,0.0053198933601379395,0.5879853367805481
43,1,1,3,0.0056205750443041325,0.012799620628356934,0.5759731531143188
44,1,1,4,0.004493202082812786,0.011981606483459473,0.559922993183136
45,1,1,5,0.0047834222204983234,0.011928021907806396,0.5508558750152588
46,1,1,6,0.004889150615781546,0.012032151222229004,0.5457329750061035
47,1,1,7,0.004640101920813322,0.011377930641174316,0.5471928119659424
48,1,1,8,0.005299437791109085,0.011948883533477783,0.5462570786476135
49,1,1,9,0.005704391747713089,0.012846231460571289,0.5399288535118103
50,1,2,0,0.017032988369464874,0.02143383026123047,0.5944809317588806
51,1,2,1,0.007536800112575293,0.014160513877868652,0.5810580253601074
52,1,2,2,0.004960088990628719,0.010847210884094238,0.5617161989212036
53,1,2,3,0.005300428252667189,0.013887226581573486,0.5442672371864319
54,1,2,4,0.005507566034793854,0.01221698522567749,0.5381240844726562
55,1,2,5,0.0040322160348296165,0.008905470371246338,0.5240280032157898
56,1,2,6,0.004998557735234499,0.011964976787567139,0.5223238468170166
57,1,2,7,0.004983619321137667,0.011757373809814453,0.5221379995346069
58,1,2,8,0.004750027786940336,0.01104038953781128,0.5155054330825806
59,1,2,9,0.0034205156844109297,0.0095100998878479,0.5103360414505005
60,2,0,0,0.010681675747036934,0.016638576984405518,0.5630950927734375
61,2,0,1,0.009955361485481262,0.015945851802825928,0.5328273773193359
62,2,0,2,0.007887834683060646,0.015882939100265503,0.5129725933074951
63,2,0,3,0.010893842205405235,0.01814568042755127,0.4926812946796417
64,2,0,4,0.00530771492049098,0.009768187999725342,0.4888823628425598
65,2,0,5,0.005709625780582428,0.011651456356048584,0.4789770543575287
66,2,0,6,0.006547454744577408,0.01363423466682434,0.4742041528224945
67,2,0,7,0.008600771427154541,0.01621869206428528,0.4736309349536896
68,2,0,8,0.010361534543335438,0.01725161075592041,0.4798373281955719
69,2,0,9,0.006323051638901234,0.012888997793197632,0.4741433560848236
70,2,1,0,0.006227901205420494,0.011640310287475586,0.54180508852005
71,2,1,1,0.009019254706799984,0.015568733215332031,0.5294153690338135
72,2,1,2,0.01042952574789524,0.01773783564567566,0.5006234645843506
73,2,1,3,0.008401940576732159,0.017020463943481445,0.4940660893917084
74,2,1,4,0.00875718705356121,0.015719115734100342,0.4773980379104614
75,2,1,5,0.013952266424894333,0.01949208974838257,0.4670412242412567
76,2,1,6,0.00797855481505394,0.015124380588531494,0.46453529596328735
77,2,1,7,0.00509640434756875,0.0117587149143219,0.4703836143016815
78,2,1,8,0.008739003911614418,0.015631139278411865,0.46474480628967285
79,2,1,9,0.00795589666813612,0.015512794256210327,0.4708796739578247
80,2,2,0,0.011641115881502628,0.018254846334457397,0.5126515626907349
81,2,2,1,0.010645436123013496,0.014976829290390015,0.4860529899597168
82,2,2,2,0.009741623885929585,0.01833292841911316,0.4659794867038727
83,2,2,3,0.00888187624514103,0.016201704740524292,0.4707167446613312
84,2,2,4,0.00737591739743948,0.014697790145874023,0.46188414096832275
85,2,2,5,0.007825463078916073,0.015847444534301758,0.45438194274902344
86,2,2,6,0.0054407669231295586,0.011772185564041138,0.4485984146595001
87,2,2,7,0.005983981303870678,0.011863529682159424,0.4431113600730896
88,2,2,8,0.006286857649683952,0.012963861227035522,0.44741055369377136
89,2,2,9,0.008164544589817524,0.01410609483718872,0.44802939891815186
90,3,0,0,0.006800856441259384,0.016089946031570435,0.4480122923851013
91,3,0,1,0.007686021737754345,0.016191840171813965,0.4123021960258484
92,3,0,2,0.004889220930635929,0.013139814138412476,0.4048354923725128
93,3,0,3,0.006125589832663536,0.013297080993652344,0.3823484480381012
94,3,0,4,0.004325922578573227,0.007153838872909546,0.35646936297416687
95,3,0,5,0.0046872589737176895,0.011862963438034058,0.3791159689426422
96,3,0,6,0.011070406064391136,0.01699933409690857,0.36650973558425903
97,3,0,7,0.013641404919326305,0.019854366779327393,0.3550311326980591
