task_id,vx_bin,vy_bin,yaw_bin,probability,learning_progress,reward_ema
0,0,0,0,0.0015281816013157368,0.00033348798751831055,0.835587203502655
1,0,0,1,0.0018087482312694192,0.002436816692352295,0.8392489552497864
2,0,0,2,0.002340764505788684,0.0025823116302490234,0.8287715911865234
3,0,0,3,0.0019471715204417706,0.0019255280494689941,0.8102253675460815
4,0,0,4,0.004330470692366362,0.00620192289352417,0.7770325541496277
5,0,0,5,0.0014568241313099861,-0.00828850269317627,0.7604876756668091
6,0,0,6,0.002946389140561223,0.0017739534378051758,0.7171154618263245
7,0,0,7,0.002163205062970519,0.003928661346435547,0.6696656346321106
8,0,0,8,0.0016779227880761027,-0.015887141227722168,0.6401192545890808
9,0,0,9,0.0016768166096881032,0.001817166805267334,0.6700340509414673
10,0,1,0,0.0014508153544738889,0.0005247592926025391,0.8208998441696167
11,0,1,1,0.0012944735353812575,-0.000499427318572998,0.823734700679779
12,0,1,2,0.0018498980207368731,0.00227433443069458,0.8159501552581787
13,0,1,3,0.0013521250803023577,-0.007197856903076172,0.7969542741775513
14,0,1,4,0.0027434267103672028,0.001900792121887207,0.7751548886299133
15,0,1,5,0.004059679806232452,0.004590213298797607,0.7422105073928833
16,0,1,6,0.001916475361213088,0.003408074378967285,0.6997106671333313
17,0,1,7,0.0012246108381077647,-0.006769537925720215,0.6538534164428711
18,0,1,8,0.0013934209709987044,0.0,0.6508666276931763
19,0,1,9,0.0013950904831290245,0.0005901455879211426,0.6530565619468689
20,0,2,0,0.0017688756342977285,0.002736210823059082,0.8000257015228271
21,0,2,1,0.0016910351114347577,0.0017352700233459473,0.8066203594207764
22,0,2,2,0.003524509258568287,0.004913926124572754,0.7850539684295654
23,0,2,3,0.0014802897348999977,-0.00036525726318359375,0.7800105810165405
24,0,2,4,0.0021191160194575787,-0.00040543079376220703,0.7444175481796265
25,0,2,5,0.008682271465659142,0.010253190994262695,0.700291633605957
26,0,2,6,0.0012090378440916538,-0.0036742091178894043,0.6444160342216492
27,0,2,7,0.002191230421885848,0.0016295909881591797,0.6281198263168335
28,0,2,8,0.0018463581800460815,0.003111898899078369,0.628680408000946
29,0,2,9,0.0017186939949169755,0.0,0.635931134223938
30,1,0,0,0.0013322026934474707,-0.0006515383720397949,0.8046890497207642
31,1,0,1,0.0015147030353546143,0.0011158585548400879,0.7989827394485474
32,1,0,2,0.0016957286279648542,0.0016461014747619629,0.7889440059661865
33,1,0,3,0.0013940439093858004,0.0,0.763687789440155
34,1,0,4,0.0012810594635084271,-0.0017753839492797852,0.7388474345207214
35,1,0,5,0.006305907852947712,-0.0005339384078979492,0.6770632266998291
36,1,0,6,0.001679644570685923,0.0028130412101745605,0.6410177946090698
37,1,0,7,0.0018321290845051408,0.0018234848976135254,0.6395928859710693
38,1,0,8,0.0028408286161720753,0.005028724670410156,0.6279007196426392
39,1,0,9,0.001713134115561843,0.0012435317039489746,0.6399077773094177
40,1,1,0,0.0016767021734267473,0.001703023910522461,0.7984422445297241
41,1,1,1,0.0013713177759200335,0.0,0.784004807472229
42,1,1,2,0.0020005640108138323,0.002425551414489746,0.7841406464576721
43,1,1,3,0.002773642772808671,0.0039101243019104,0.7522512674331665
44,1,1,4,0.0016847015358507633,-0.04377174377441406,0.6727617979049683
45,1,1,5,0.0015818807296454906,-0.0024379491806030273,0.6583301424980164
46,1,1,6,0.001609748462215066,0.0003656148910522461,0.6245633363723755
47,1,1,7,0.0014592909719794989,0.0004488229751586914,0.6301299333572388
48,1,1,8,0.0016183931147679687,0.0020380616188049316,0.6342900991439819
49,1,1,9,0.0011634203838184476,-0.004119575023651123,0.6280454993247986
50,1,2,0,0.0017011709278449416,0.0007863640785217285,0.7855666875839233
51,1,2,1,0.002879167441278696,0.00411611795425415,0.7554373741149902
52,1,2,2,0.0025840168818831444,0.004408061504364014,0.7433673739433289
53,1,2,3,0.003079090965911746,0.005962789058685303,0.7382391095161438
54,1,2,4,0.015314001590013504,0.012365937232971191,0.6916995644569397
55,1,2,5,0.002031165175139904,0.0027390718460083008,0.6418873071670532
56,1,2,6,0.007767982315272093,-0.017212748527526855,0.5593650341033936
