task_id,vx_bin,vy_bin,yaw_bin,probability,learning_progress,reward_ema
0,0,0,0,0.0010118859354406595,-0.0001251697540283203,0.8387837409973145
1,0,0,1,0.0015204406809061766,0.0021292567253112793,0.8424348831176758
2,0,0,2,0.0014670633245259523,0.0019268989562988281,0.8383780121803284
3,0,0,3,0.0022072354331612587,0.002721428871154785,0.820258617401123
4,0,0,4,0.0009964891942217946,0.0,0.8024098873138428
5,0,0,5,0.020306892693042755,0.00896233320236206,0.7477560043334961
6,0,0,6,0.0058650425635278225,0.0,0.7411506175994873
7,0,0,7,0.0047415923327207565,-0.006809711456298828,0.6671402454376221
8,0,0,8,0.0012051817029714584,0.0,0.6763274669647217
9,0,0,9,0.0010720008285716176,0.0001404881477355957,0.6682302355766296
10,0,1,0,0.0010091877775266767,0.0,0.8217843174934387
11,0,1,1,0.000806822965387255,-0.0018790364265441895,0.8269426822662354
12,0,1,2,0.0009226126130670309,-0.0032736659049987793,0.8260102272033691
13,0,1,3,0.0008041352266445756,-0.0039337873458862305,0.8149091601371765
14,0,1,4,0.0012901101727038622,0.0014668107032775879,0.7874754071235657
15,0,1,5,0.0017731451662257314,0.002544701099395752,0.7579510807991028
16,0,1,6,0.0015136899892240763,0.0001837015151977539,0.7240159511566162
17,0,1,7,0.0006975242285989225,-0.0038437843322753906,0.680978000164032
18,0,1,8,0.0009909068467095494,-0.009760260581970215,0.6461774110794067
19,0,1,9,0.001092210877686739,0.0001055002212524414,0.6550571322441101
20,0,2,0,0.0019043836509808898,0.002440035343170166,0.8018440008163452
21,0,2,1,0.0028040027245879173,0.004254162311553955,0.789344847202301
22,0,2,2,0.0010424884967505932,-0.0002930164337158203,0.8092631101608276
23,0,2,3,0.0008126580505631864,-0.00332719087600708,0.7911169528961182
24,0,2,4,0.004141324665397406,0.006353497505187988,0.7527323961257935
25,0,2,5,0.0023306601215153933,0.003398001194000244,0.7240404486656189
26,0,2,6,0.002483880380168557,0.004189729690551758,0.6930589079856873
27,0,2,7,0.0012505424674600363,-0.001452028751373291,0.6559852361679077
28,0,2,8,0.001561681623570621,0.0023769140243530273,0.6261039972305298
29,0,2,9,0.00100912363268435,0.0,0.6334789991378784
30,1,0,0,0.0012098303996026516,0.001129746437072754,0.8077930212020874
31,1,0,1,0.002250197809189558,0.00377047061920166,0.8099378347396851
32,1,0,2,0.0009540151804685593,-0.001143813133239746,0.7922466993331909
33,1,0,3,0.0014396838378161192,0.0009657740592956543,0.7823622822761536
34,1,0,4,0.001420781365595758,0.0,0.7449511289596558
35,1,0,5,0.0046290927566587925,0.006424248218536377,0.7003968954086304
36,1,0,6,0.0037402063608169556,0.005928635597229004,0.6549010276794434
37,1,0,7,0.0017289475072175264,0.0026693344116210938,0.6445662975311279
38,1,0,8,0.0009455583640374243,-0.0010273456573486328,0.6466666460037231
39,1,0,9,0.0010545358527451754,0.0,0.6452013850212097
40,1,1,0,0.004317784681916237,0.006455421447753906,0.7948381304740906
41,1,1,1,0.0009671470033936203,0.0,0.785252571105957
42,1,1,2,0.0019941225182265043,0.0023953914642333984,0.7806745171546936
43,1,1,3,0.0009978159796446562,0.0,0.7427967190742493
44,1,1,4,0.0010328585049137473,0.0,0.7261567711830139
45,1,1,5,0.0029904854018241167,0.005105316638946533,0.678931713104248
46,1,1,6,0.0012880535796284676,-0.005517899990081787,0.6387017965316772
47,1,1,7,0.0005684589850716293,-0.005905210971832275,0.6258869767189026
48,1,1,8,0.0011182796442881227,0.0,0.6367979049682617
49,1,1,9,0.0010413296986371279,0.0,0.633993923664093
50,1,2,0,0.0011259418679401278,0.0006623268127441406,0.7777267098426819
51,1,2,1,0.0036658430472016335,0.0058689117431640625,0.761784553527832
52,1,2,2,0.0012476400006562471,0.0,0.7720290422439575
53,1,2,3,0.0016795926494523883,0.000632941722869873,0.7474046349525452
54,1,2,4,0.004477362614125013,0.005534112453460693,0.68753981590271
55,1,2,5,0.0068833897821605206,-0.015495002269744873,0.6184386014938354
56,1,2,6,0.0031489913817495108,0.005094289779663086,0.6160346269607544
57,1,2,7,0.0012346695875748992,0.0,0.6150805950164795
58,1,2,8,0.0010131903691217303,0.0,0.6182360649108887
59,1,2,9,0.0015428285114467144,0.0022127628326416016,0.6180194616317749
60,2,0,0,0.0010249631013721228,0.0,0.7475521564483643
61,2,0,1,0.002711369888857007,0.0042380690574646,0.7375075817108154
62,2,0,2,0.0022662850096821785,0.003924965858459473,0.7309567928314209
63,2,0,3,0.0015561925247311592,0.0014452934265136719,0.6969624161720276
64,2,0,4,0.03800645470619202,0.013779401779174805,0.6337966918945312
65,2,0,5,0.0014436397468671203,-0.0011643767356872559,0.5913829207420349
66,2,0,6,0.0007700099959038198,-0.0017639398574829102,0.6039465665817261
67,2,0,7,0.0009811047930270433,0.0,0.5995385646820068
68,2,0,8,0.0024412740021944046,0.0041252970695495605,0.6037110090255737
69,2,0,9,0.0007221389096230268,-0.011677563190460205,0.5896415710449219
70,2,1,0,0.0026693984400480986,0.0046656131744384766,0.7479606866836548
71,2,1,1,0.0011469776509329677,-0.001212000846862793,0.7242701053619385
72,2,1,2,0.001052260398864746,0.0,0.7135550379753113
73,2,1,3,0.0010703736916184425,0.0,0.6769773960113525
74,2,1,4,0.0009537885780446231,0.0,0.6105061769485474
75,2,1,5,0.0013124222168698907,-0.00015532970428466797,0.584827721118927
76,2,1,6,0.0008239083690568805,-0.0009011030197143555,0.5930410027503967
77,2,1,7,0.0011021684622392058,1.0192394256591797e-05,0.6027681231498718
78,2,1,8,0.0034337230026721954,0.005581855773925781,0.5956985354423523
