task_id,vx_bin,vy_bin,yaw_bin,probability,learning_progress,reward_ema
0,0,0,0,0.024172965437173843,0.01712965965270996,0.7047417759895325
1,0,0,1,0.006903000175952911,-0.004337668418884277,0.6833313703536987
2,0,0,2,0.0016619875095784664,0.002413809299468994,0.6824484467506409
3,0,0,3,0.0009220960782840848,0.0,0.6504915356636047
4,0,0,4,0.000910288596060127,0.0,0.6410604119300842
5,0,0,5,0.0016802954487502575,0.003488600254058838,0.6283741593360901
6,0,0,6,0.0038764162454754114,0.008240878582000732,0.62005215883255
7,0,0,7,0.002080296166241169,0.004774808883666992,0.6217290759086609
8,0,0,8,0.003363635390996933,0.008548200130462646,0.6059169173240662
9,0,0,9,0.0011577168479561806,-0.002085566520690918,0.6043118238449097
10,0,1,0,0.005306839011609554,0.008013725280761719,0.7177921533584595
11,0,1,1,0.0277265552431345,0.01828598976135254,0.6741302013397217
12,0,1,2,0.0008915051585063338,0.0,0.6670631766319275
13,0,1,3,0.0021363734267652035,0.0055275559425354,0.6355568766593933
14,0,1,4,0.001408483018167317,0.0,0.6042015552520752
15,0,1,5,0.0027161170728504658,0.007027745246887207,0.6077878475189209
16,0,1,6,0.003202856285497546,0.0072220563888549805,0.6012054085731506
17,0,1,7,0.0012184709776192904,-0.0009948015213012695,0.6096584796905518
18,0,1,8,0.0021690307185053825,0.005784153938293457,0.6195781826972961
19,0,1,9,0.003930831793695688,0.007665276527404785,0.6047952175140381
20,0,2,0,0.03478351607918739,0.01809847354888916,0.6524937748908997
21,0,2,1,0.004637846257537603,0.007592976093292236,0.6458332538604736
22,0,2,2,0.0035519960802048445,0.007903695106506348,0.63028883934021
23,0,2,3,0.003256066469475627,0.007864892482757568,0.5932171940803528
24,0,2,4,0.003436306258663535,0.006584882736206055,0.5777509808540344
25,0,2,5,0.0023422865197062492,0.005866885185241699,0.5915377140045166
26,0,2,6,0.004588484764099121,0.010226130485534668,0.5740966796875
27,0,2,7,0.003388770390301943,0.00832456350326538,0.5725150108337402
28,0,2,8,0.00336934020742774,0.008015692234039307,0.5774035453796387
29,0,2,9,0.0027129927184432745,0.0069065093994140625,0.5597566366195679
30,1,0,0,0.0018607823876664042,0.003326594829559326,0.6974753141403198
31,1,0,1,0.0015771947801113129,0.0,0.660489559173584
32,1,0,2,0.0010641233529895544,0.0,0.6465649008750916
33,1,0,3,0.010943153873085976,0.0,0.5542310476303101
34,1,0,4,0.0017733226995915174,0.003788292407989502,0.598551332950592
35,1,0,5,0.00608851807191968,0.011575877666473389,0.5862572193145752
