task_id,vx_bin,vy_bin,yaw_bin,probability,learning_progress,reward_ema
0,0,0,0,0.0009467456256970763,0.0,0.838840663433075
1,0,0,1,0.0008920231484808028,-1.913309097290039e-05,0.8410182595252991
2,0,0,2,0.0011215913109481335,0.0003737807273864746,0.8360857367515564
3,0,0,3,0.0009634221205487847,0.0,0.8319422006607056
4,0,0,4,0.0009496449492871761,0.0001119375228881836,0.8069959878921509
5,0,0,5,0.0027299998328089714,0.005559802055358887,0.767635703086853
6,0,0,6,0.0017059840029105544,0.0024425387382507324,0.7591900825500488
7,0,0,7,0.013601177372038364,0.01076662540435791,0.7119386196136475
8,0,0,8,0.0009872167138382792,0.0,0.6781687140464783
9,0,0,9,0.0013964766403660178,0.001767575740814209,0.6748752593994141
10,0,1,0,0.0009214248275384307,0.0,0.8273753523826599
11,0,1,1,0.001215041964314878,0.0018745064735412598,0.828903079032898
12,0,1,2,0.0012184500228613615,0.0017833709716796875,0.8302200436592102
13,0,1,3,0.001292154542170465,0.002039015293121338,0.8152821063995361
14,0,1,4,0.0011830924777314067,0.0013936161994934082,0.7995235919952393
15,0,1,5,0.0012344506103545427,0.0019685029983520508,0.7699732184410095
16,0,1,6,0.0023201117292046547,0.0020905733108520508,0.7397013902664185
17,0,1,7,0.002781467977911234,0.002615034580230713,0.6963564157485962
18,0,1,8,0.0018490684451535344,0.0035062432289123535,0.6642400622367859
19,0,1,9,0.001119487453252077,0.0013833045959472656,0.6554510593414307
20,0,2,0,0.0009775732178241014,0.0002987384796142578,0.8064776659011841
21,0,2,1,0.0018011287320405245,0.0028861165046691895,0.8043931126594543
22,0,2,2,0.0010620205430313945,0.0005185604095458984,0.8117914199829102
23,0,2,3,0.0015920664882287383,0.003521859645843506,0.7756654024124146
24,0,2,4,0.0013158958172425628,0.002323150634765625,0.7701222896575928
25,0,2,5,0.0021912893280386925,0.004442393779754639,0.7419955134391785
26,0,2,6,0.0027954806573688984,0.00467759370803833,0.6905196309089661
27,0,2,7,0.001032317872159183,-0.0005213022232055664,0.6511340141296387
28,0,2,8,0.0006907332572154701,-0.014800667762756348,0.6167012453079224
29,0,2,9,0.0009534403216093779,0.0007288455963134766,0.6290324926376343
30,1,0,0,0.0010906312381848693,0.0012229681015014648,0.8109230995178223
31,1,0,1,0.0009256131015717983,0.0,0.8036771416664124
32,1,0,2,0.0010852731065824628,0.0,0.7956357598304749
33,1,0,3,0.002170454477891326,0.0022065043449401855,0.7909741997718811
34,1,0,4,0.0039100032299757,0.006841421127319336,0.7538566589355469
35,1,0,5,0.003914493136107922,0.006389975547790527,0.7233519554138184
36,1,0,6,0.0032828731928020716,0.002847909927368164,0.6659294366836548
37,1,0,7,0.000993342255242169,0.0007244348526000977,0.6433664560317993
38,1,0,8,0.001791968708857894,0.0034857988357543945,0.6413451433181763
39,1,0,9,0.0009939584415405989,0.0005689263343811035,0.6420769095420837
40,1,1,0,0.0013792759273201227,0.0018116235733032227,0.7997543215751648
41,1,1,1,0.0009134525898844004,0.0,0.7985926866531372
42,1,1,2,0.0009148489334620535,0.0,0.7832508683204651
43,1,1,3,0.001148548093624413,0.0009825825691223145,0.7748389840126038
44,1,1,4,0.0007651473279111087,-0.001132667064666748,0.7461846470832825
45,1,1,5,0.0015892729861661792,0.002582073211669922,0.7028669118881226
46,1,1,6,0.0014213734539225698,-0.0009221434593200684,0.6493502855300903
47,1,1,7,0.0010583606781437993,-0.0008566975593566895,0.630264401435852
48,1,1,8,0.0008813984459266067,0.0,0.63621586561203
