task_id,vx_bin,vy_bin,yaw_bin,probability,learning_progress,reward_ema
0,0,0,0,0.001079936046153307,2.1636486053466797e-05,0.8388692140579224
1,0,0,1,0.00135899824090302,0.0019309520721435547,0.8368033170700073
2,0,0,2,0.0014912333572283387,0.001879572868347168,0.8271902799606323
3,0,0,3,0.0014465746935456991,0.0016922950744628906,0.8216942548751831
4,0,0,4,0.0045465282164514065,0.0071637630462646484,0.7998315095901489
5,0,0,5,0.001033537439070642,-0.00034618377685546875,0.7752213478088379
6,0,0,6,0.0015653702430427074,0.001131892204284668,0.7237540483474731
7,0,0,7,0.001436360995285213,0.0017777085304260254,0.7017585635185242
8,0,0,8,0.0008572117076255381,-0.004069209098815918,0.6654947996139526
9,0,0,9,0.001059460686519742,0.0,0.6507655382156372
10,0,1,0,0.0009405756718479097,-0.0016559958457946777,0.8263360857963562
11,0,1,1,0.0010698421392589808,-0.0004328489303588867,0.8242344856262207
12,0,1,2,0.002329922979697585,0.004557192325592041,0.8091908693313599
13,0,1,3,0.0029611403588205576,0.005533933639526367,0.8095285296440125
14,0,1,4,0.0025665636640042067,0.002933979034423828,0.777726411819458
15,0,1,5,0.003255507443100214,0.006003975868225098,0.7445690631866455
16,0,1,6,0.004680143669247627,0.007400453090667725,0.7151049375534058
17,0,1,7,0.0008786083199083805,-0.002595841884613037,0.6711817979812622
18,0,1,8,0.001049624290317297,0.0,0.6536744832992554
19,0,1,9,0.0010514467721804976,0.0,0.6529416441917419
20,0,2,0,0.0014010579325258732,0.0018546581268310547,0.8008245229721069
21,0,2,1,0.002093059243634343,0.004250049591064453,0.794654130935669
22,0,2,2,0.0015800666296854615,0.001808762550354004,0.7940815687179565
23,0,2,3,0.005498075392097235,0.006887376308441162,0.7641736268997192
24,0,2,4,0.004809666890650988,0.007459461688995361,0.7378875017166138
25,0,2,5,0.0009104060591198504,0.0,0.6843236684799194
26,0,2,6,0.00236178538762033,0.001350104808807373,0.6642038822174072
27,0,2,7,0.0012601157650351524,-7.623434066772461e-05,0.6482632160186768
28,0,2,8,0.0015298499492928386,0.0,0.6297251582145691
29,0,2,9,0.001059220521710813,0.0,0.631612241268158
30,1,0,0,0.0011191098019480705,0.00011074542999267578,0.8077974319458008
31,1,0,1,0.0010147127322852612,0.0,0.800487756729126
32,1,0,2,0.001741416403092444,0.003038763999938965,0.7826496362686157
33,1,0,3,0.0010481419740244746,0.0,0.7734585404396057
34,1,0,4,0.0019670173060148954,0.0029352903366088867,0.7416082620620728
35,1,0,5,0.0013051615096628666,-9.000301361083984e-06,0.6949626803398132
36,1,0,6,0.0024497644044458866,0.0027244091033935547,0.6425315141677856
37,1,0,7,0.0012921085581183434,6.657838821411133e-05,0.6270220875740051
