task_id,vx_bin,vy_bin,yaw_bin,probability,learning_progress,reward_ema
0,0,0,0,0.0018619828624650836,-0.014994978904724121,0.6822708249092102
1,0,0,1,0.0036331657320261,0.006249129772186279,0.6724335551261902
2,0,0,2,0.004871272016316652,0.00857466459274292,0.6475480198860168
3,0,0,3,0.006323785986751318,0.002352893352508545,0.6111961007118225
4,0,0,4,0.010914545506238937,0.0103224515914917,0.5901941061019897
5,0,0,5,0.007731001358479261,0.005153656005859375,0.5822039246559143
6,0,0,6,0.002343758475035429,0.001925826072692871,0.5705704689025879
7,0,0,7,0.0023787738755345345,0.0,0.5786622166633606
8,0,0,8,0.0030465403106063604,0.00039631128311157227,0.5937517881393433
9,0,0,9,0.002514856867492199,0.004536032676696777,0.5945578813552856
10,0,1,0,0.0028700404800474644,0.0062618255615234375,0.6411024332046509
11,0,1,1,0.003866222221404314,0.006158232688903809,0.6053863763809204
12,0,1,2,0.003044291865080595,0.0014123916625976562,0.5771392583847046
13,0,1,3,0.0029171521309763193,0.0,0.5649436712265015
14,0,1,4,0.003681290429085493,0.007803380489349365,0.5373051166534424
15,0,1,5,0.0035063361283391714,0.003349006175994873,0.5226042866706848
16,0,1,6,0.0038692373782396317,0.0069161057472229,0.5052164793014526
17,0,1,7,0.0030205678194761276,0.003417789936065674,0.5237082839012146
18,0,1,8,0.0030349281150847673,0.006639242172241211,0.5237650871276855
19,0,1,9,0.002396208234131336,0.00018042325973510742,0.5222567319869995
20,0,2,0,0.002342358697205782,-0.0017835497856140137,0.5528947710990906
21,0,2,1,0.0023680273443460464,0.0025867819786071777,0.5139482021331787
22,0,2,2,0.004106937907636166,0.0044831037521362305,0.49747636914253235
23,0,2,3,0.0034660534001886845,0.006017774343490601,0.48492535948753357
24,0,2,4,0.003281022422015667,0.00575786828994751,0.4667733907699585
25,0,2,5,0.004124421160668135,0.005159437656402588,0.45000696182250977
26,0,2,6,0.00935092568397522,0.010212928056716919,0.4502134621143341
27,0,2,7,0.003407176584005356,0.005262136459350586,0.432728111743927
28,0,2,8,0.0026991560589522123,0.005237877368927002,0.4358816146850586
29,0,2,9,0.002059054095298052,-0.000762253999710083,0.428264319896698
30,1,0,0,0.002076883567497134,0.0001646876335144043,0.49644845724105835
31,1,0,1,0.0019985458347946405,0.0,0.4536052942276001
32,1,0,2,0.003125936957076192,0.00010961294174194336,0.4470391273498535
33,1,0,3,0.005902188830077648,0.008145809173583984,0.412716269493103
34,1,0,4,0.002036093268543482,0.0,0.39176058769226074
35,1,0,5,0.04269298538565636,0.02734959125518799,0.419826865196228
36,1,0,6,0.0043073310516774654,-0.005432844161987305,0.35807839035987854
37,1,0,7,0.0051233358681201935,-0.013549327850341797,0.37578558921813965
38,1,0,8,0.0026163472793996334,0.0008727610111236572,0.38607412576675415
39,1,0,9,0.0024338876828551292,-0.0021694600582122803,0.3805796205997467
40,1,1,0,0.0019859049934893847,-0.0033590197563171387,0.48331117630004883
41,1,1,1,0.0021597733721137047,0.001978933811187744,0.4476596713066101
