terrain_type,terrain_level,command_vx,attempts,successful_attempts,success_rate,survival_rate,mean_vx,bias_vx,mae_vx,rmse_vx,mean_traversal_time_s,mean_max_lateral_error_m,mean_max_heading_error_deg,mean_power_w,mechanical_cot
stairs_up,0,0.4,5,1,0.2,0.2,0.09397397190332413,-0.30602603405714035,0.30602603405714035,0.30602603405714035,15.96186637878418,0.8724594116210938,21.56278768141978,44.001399993896484,2.9703502655029297
stairs_up,0,0.6,5,5,1.0,1.0,0.46132535934448243,-0.13867466449737548,0.13867466449737548,0.13867466449737548,3.2768959045410155,0.45550107955932617,15.643027552295502,61.40269241333008,0.8525840878486634
stairs_up,0,0.8,5,4,0.8,0.8,0.6022513248026371,-0.19774868711829185,0.19774868711829185,0.19774868711829185,3.0773364305496216,0.3941824436187744,12.818807893943195,70.64566421508789,0.9486346691846848
stairs_up,0,1.0,5,5,1.0,1.0,0.950789999961853,-0.049210000038146975,0.049210000038146975,0.049210000038146975,1.5776990413665772,0.04277515411376953,6.674783497997379,96.72514953613282,0.6552428126335144
stairs_up,0,1.2,5,2,0.4,0.4,1.0518506169319153,-0.14814943075180054,0.14814943075180054,0.14814943075180054,1.426170825958252,0.3368372917175293,20.573267440508765,107.37517547607422,0.6535114049911499
stairs_up,0,1.4,5,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
stairs_up,0,1.6,5,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
stairs_up,0,1.8,5,1,0.2,0.2,1.4520838260650635,-0.3479161262512207,0.3479161262512207,0.3479161262512207,1.0329982042312622,0.046013832092285156,11.151627659765015,260.9704895019531,1.1685895919799805
stairs_up,0,2.0,5,2,0.4,0.4,1.593358039855957,-0.40664196014404297,0.40664196014404297,0.40664196014404297,0.941408097743988,0.15965557098388672,21.11814663532018,284.0804138183594,1.152065396308899
stairs_up,0,2.2,5,4,0.8,0.8,1.6553070843219757,-0.5446929633617401,0.5446929633617401,0.5446929633617401,0.9062340259552002,0.04040992259979248,12.117139785743433,280.1548156738281,1.0948152840137482
stairs_up,0,2.4,5,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
stairs_up,1,0.4,5,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
stairs_up,1,0.6,5,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
stairs_up,1,0.8,5,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
stairs_up,1,1.0,5,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
stairs_up,1,1.2,5,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
stairs_up,1,1.4,5,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
stairs_up,1,1.6,5,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
stairs_up,1,1.8,5,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
stairs_up,1,2.0,5,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
stairs_up,1,2.2,5,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
stairs_up,1,2.4,5,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
stairs_up,2,0.4,5,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
stairs_up,2,0.6,5,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
stairs_up,2,0.8,5,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
stairs_up,2,1.0,5,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
stairs_up,2,1.2,5,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
stairs_up,2,1.4,5,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
stairs_up,2,1.6,5,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
stairs_up,2,1.8,5,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
stairs_up,2,2.0,5,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
stairs_up,2,2.2,5,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
stairs_up,2,2.4,5,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
stairs_up,3,0.4,5,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
stairs_up,3,0.6,5,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
stairs_up,3,0.8,5,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
stairs_up,3,1.0,5,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
stairs_up,3,1.2,5,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
stairs_up,3,1.4,5,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
stairs_up,3,1.6,5,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
stairs_up,3,1.8,5,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
stairs_up,3,2.0,5,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
stairs_up,3,2.2,5,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
stairs_up,3,2.4,5,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
